neuron_1,neuron_2,pcorr,comb,session_name,bin_width
1,4,-0.09972133875969379,"[1, 4]",ESHOCK_03_LOC1,0.05
1,5,0.3825379841638473,"[1, 5]",ESHOCK_03_LOC1,0.05
4,5,0.2462738190130186,"[4, 5]",ESHOCK_03_LOC1,0.05
1,6,-0.009825769570615681,"[1, 6]",ESHOCK_03_LOC1,0.05
4,6,0.12144073947691071,"[4, 6]",ESHOCK_03_LOC1,0.05
5,6,0.08254236440855373,"[5, 6]",ESHOCK_03_LOC1,0.05
1,8,-0.03258952307319437,"[1, 8]",ESHOCK_03_LOC1,0.05
4,8,0.16927039021656182,"[4, 8]",ESHOCK_03_LOC1,0.05
5,8,0.0897213669427383,"[5, 8]",ESHOCK_03_LOC1,0.05
6,8,0.10178550070093875,"[6, 8]",ESHOCK_03_LOC1,0.05
9,12,0.005836250853863342,"[9, 12]",ESHOCK_04_LOC1,0.05
9,17,0.010418578139164266,"[9, 17]",ESHOCK_04_LOC1,0.05
12,17,0.010357441211912193,"[12, 17]",ESHOCK_04_LOC1,0.05
9,18,0.029692844214766635,"[9, 18]",ESHOCK_04_LOC1,0.05
12,18,-0.004966986787009083,"[12, 18]",ESHOCK_04_LOC1,0.05
17,18,0.03984033292909115,"[17, 18]",ESHOCK_04_LOC1,0.05
9,22,-0.02171683164727247,"[9, 22]",ESHOCK_04_LOC1,0.05
12,22,-0.015080281353686612,"[12, 22]",ESHOCK_04_LOC1,0.05
17,22,-0.03012262253558874,"[17, 22]",ESHOCK_04_LOC1,0.05
18,22,-0.029270420014531277,"[18, 22]",ESHOCK_04_LOC1,0.05
9,27,-0.008064528733883202,"[9, 27]",ESHOCK_04_LOC1,0.05
12,27,0.013253721697272071,"[12, 27]",ESHOCK_04_LOC1,0.05
17,27,0.015708331488839516,"[17, 27]",ESHOCK_04_LOC1,0.05
18,27,0.012018519476363424,"[18, 27]",ESHOCK_04_LOC1,0.05
22,27,0.03171886538891228,"[22, 27]",ESHOCK_04_LOC1,0.05
9,31,0.02374972160414237,"[9, 31]",ESHOCK_04_LOC1,0.05
12,31,0.0606392655568983,"[12, 31]",ESHOCK_04_LOC1,0.05
17,31,0.04142053079679348,"[17, 31]",ESHOCK_04_LOC1,0.05
18,31,0.029780718413655635,"[18, 31]",ESHOCK_04_LOC1,0.05
