neuron_id,oscillation,mean_angle,var,p,neuron_type,session_name,group_name
81,delta,1.25,8.41,0.37,SIR,ESHOCK_07_LOC1,sham
81,theta,2.03,7.55,0.54,SIR,ESHOCK_07_LOC1,sham
82,delta,1.06,6.6,0.51,SIR,ESHOCK_07_LOC1,sham
82,theta,-1.67,10.46,0.99,SIR,ESHOCK_07_LOC1,sham
84,delta,0.44,5.05,0.0,SR,ESHOCK_07_LOC1,sham
84,theta,1.14,7.89,0.6,SR,ESHOCK_07_LOC1,sham
85,delta,0.38,5.2,0.0,SR,ESHOCK_07_LOC1,sham
85,theta,-0.94,6.61,0.11,SR,ESHOCK_07_LOC1,sham
86,delta,-0.96,4.45,0.0,SR,ESHOCK_07_LOC1,sham
86,theta,1.67,4.31,0.0,SR,ESHOCK_07_LOC1,sham
88,delta,-0.84,6.73,0.0,FF,ESHOCK_07_LOC1,sham
88,theta,1.59,5.42,0.0,FF,ESHOCK_07_LOC1,sham
89,delta,3.03,5.74,0.0,SR,ESHOCK_07_LOC1,sham
89,theta,3.0,6.59,0.21,SR,ESHOCK_07_LOC1,sham
90,delta,-0.59,6.39,0.0,FF,ESHOCK_07_LOC1,sham
90,theta,2.19,5.0,0.0,FF,ESHOCK_07_LOC1,sham
91,delta,-1.29,5.04,0.0,FF,ESHOCK_07_LOC1,sham
91,theta,1.49,4.46,0.0,FF,ESHOCK_07_LOC1,sham
92,delta,1.57,5.45,0.0,SIR,ESHOCK_07_LOC1,sham
92,theta,-1.55,2.67,0.0,SIR,ESHOCK_07_LOC1,sham
93,delta,2.07,6.13,0.0,SR,ESHOCK_07_LOC1,sham
93,theta,0.03,5.13,0.0,SR,ESHOCK_07_LOC1,sham
94,delta,-0.45,6.21,0.0,SIR,ESHOCK_07_LOC1,sham
94,theta,-0.9,3.22,0.0,SIR,ESHOCK_07_LOC1,sham
95,delta,1.58,4.22,0.0,SIR,ESHOCK_07_LOC1,sham
95,theta,-0.87,3.68,0.0,SIR,ESHOCK_07_LOC1,sham
97,delta,-0.5,10.98,0.74,FF,ESHOCK_08_LOC1,sham
97,theta,1.74,7.7,0.05,FF,ESHOCK_08_LOC1,sham
98,delta,-2.65,4.43,0.0,FF,ESHOCK_08_LOC1,sham
98,theta,-0.91,6.98,0.32,FF,ESHOCK_08_LOC1,sham
99,delta,3.06,4.44,0.01,SIR,ESHOCK_08_LOC1,sham
99,theta,3.05,3.56,0.51,SIR,ESHOCK_08_LOC1,sham
100,delta,-2.26,4.9,0.0,SIR,ESHOCK_08_LOC1,sham
100,theta,-2.25,7.79,0.62,SIR,ESHOCK_08_LOC1,sham
101,delta,-2.61,6.13,0.0,FF,ESHOCK_08_LOC1,sham
101,theta,-0.72,10.5,0.97,FF,ESHOCK_08_LOC1,sham
102,delta,-2.02,5.67,0.0,SR,ESHOCK_08_LOC1,sham
102,theta,-0.91,4.54,0.0,SR,ESHOCK_08_LOC1,sham
103,delta,-1.7,4.63,0.92,SR,ESHOCK_08_LOC1,sham
104,delta,-1.41,5.6,0.0,SR,ESHOCK_08_LOC1,sham
104,theta,1.92,7.13,0.4,SR,ESHOCK_08_LOC1,sham
105,delta,-2.81,4.03,0.0,SR,ESHOCK_08_LOC1,sham
105,theta,-0.75,4.17,0.0,SR,ESHOCK_08_LOC1,sham
106,delta,-2.21,7.18,0.74,SR,ESHOCK_08_LOC1,sham
106,theta,-1.25,5.68,0.24,SR,ESHOCK_08_LOC1,sham
107,delta,-2.66,4.43,0.0,SR,ESHOCK_08_LOC1,sham
107,theta,2.67,5.53,0.99,SR,ESHOCK_08_LOC1,sham
108,delta,-2.78,4.05,0.0,FF,ESHOCK_08_LOC1,sham
108,theta,0.99,8.03,0.22,FF,ESHOCK_08_LOC1,sham
109,delta,-2.75,4.33,0.0,SR,ESHOCK_08_LOC1,sham
109,theta,1.28,8.74,0.99,SR,ESHOCK_08_LOC1,sham
110,delta,-2.9,4.31,0.0,SR,ESHOCK_08_LOC1,sham
110,theta,-0.48,8.76,0.97,SR,ESHOCK_08_LOC1,sham
111,delta,-2.58,4.71,0.0,FF,ESHOCK_08_LOC1,sham
111,theta,1.18,7.47,0.2,FF,ESHOCK_08_LOC1,sham
113,delta,0.13,8.32,0.13,FF,ESHOCK_08_LOC1,sham
113,theta,1.95,8.2,0.38,FF,ESHOCK_08_LOC1,sham
114,delta,2.98,1.28,0.0,FF,ESHOCK_08_LOC1,sham
114,theta,0.21,0.37,0.24,FF,ESHOCK_08_LOC1,sham
115,delta,-1.39,6.68,0.35,SIR,ESHOCK_08_LOC1,sham
115,theta,1.51,8.59,0.23,SIR,ESHOCK_08_LOC1,sham
116,delta,-2.71,4.82,0.0,FF,ESHOCK_08_LOC1,sham
116,theta,2.52,9.18,0.94,FF,ESHOCK_08_LOC1,sham
117,delta,2.59,2.21,0.0,FF,ESHOCK_08_LOC1,sham
118,delta,3.01,1.37,0.0,SIR,ESHOCK_08_LOC1,sham
118,theta,-1.88,1.69,0.39,SIR,ESHOCK_08_LOC1,sham
120,delta,-2.59,0.65,0.0,SIR,ESHOCK_08_LOC1,sham
121,delta,-1.57,4.54,0.01,SR,ESHOCK_08_LOC1,sham
121,theta,2.13,8.55,0.15,SR,ESHOCK_08_LOC1,sham
122,delta,-2.82,1.09,0.0,SIR,ESHOCK_08_LOC1,sham
122,theta,-0.35,0.94,0.51,SIR,ESHOCK_08_LOC1,sham
123,delta,-2.22,9.28,0.91,SIR,ESHOCK_08_LOC1,sham
123,theta,0.75,6.15,0.2,SIR,ESHOCK_08_LOC1,sham
124,delta,-2.74,2.01,0.0,SIR,ESHOCK_08_LOC1,sham
124,theta,-2.32,3.34,0.09,SIR,ESHOCK_08_LOC1,sham
125,delta,-2.7,4.06,0.0,SR,ESHOCK_08_LOC1,sham
126,delta,-2.87,2.6,0.0,SIR,ESHOCK_08_LOC1,sham
126,theta,0.6,2.48,0.14,SIR,ESHOCK_08_LOC1,sham
127,delta,-1.9,2.56,0.0,SIR,ESHOCK_08_LOC1,sham
127,theta,1.75,-0.0,0.62,SIR,ESHOCK_08_LOC1,sham
128,delta,-2.59,2.19,0.0,FF,ESHOCK_08_LOC1,sham
128,theta,-2.09,0.53,0.52,FF,ESHOCK_08_LOC1,sham
132,delta,-2.69,4.93,0.0,SR,ESHOCK_09_LOC1,sham
132,theta,0.38,7.97,0.56,SR,ESHOCK_09_LOC1,sham
135,delta,-2.36,5.1,0.0,FF,ESHOCK_09_LOC1,sham
135,theta,0.16,7.91,0.22,FF,ESHOCK_09_LOC1,sham
136,delta,-2.68,4.47,0.0,SR,ESHOCK_09_LOC1,sham
136,theta,2.23,7.75,0.48,SR,ESHOCK_09_LOC1,sham
137,delta,-2.67,2.16,0.52,SR,ESHOCK_09_LOC1,sham
137,theta,1.84,10.56,0.99,SR,ESHOCK_09_LOC1,sham
138,delta,-1.53,5.52,0.0,SR,ESHOCK_09_LOC1,sham
138,theta,-0.67,6.43,0.0,SR,ESHOCK_09_LOC1,sham
139,delta,-2.85,4.68,0.0,SR,ESHOCK_09_LOC1,sham
139,theta,1.37,8.42,0.86,SR,ESHOCK_09_LOC1,sham
140,delta,-2.81,4.33,0.0,SR,ESHOCK_09_LOC1,sham
140,theta,-2.16,6.18,0.02,SR,ESHOCK_09_LOC1,sham
142,delta,-2.53,4.27,0.0,SR,ESHOCK_09_LOC1,sham
142,theta,3.03,8.11,0.4,SR,ESHOCK_09_LOC1,sham
144,delta,-2.9,4.9,0.0,FF,ESHOCK_09_LOC1,sham
144,theta,1.26,5.66,0.0,FF,ESHOCK_09_LOC1,sham
145,delta,-3.06,6.09,0.0,SIR,ESHOCK_09_LOC1,sham
145,theta,-1.36,9.48,0.98,SIR,ESHOCK_09_LOC1,sham
146,delta,-2.93,5.01,0.0,SR,ESHOCK_09_LOC1,sham
146,theta,-0.18,6.6,0.18,SR,ESHOCK_09_LOC1,sham
147,delta,0.96,4.82,0.0,SR,ESHOCK_09_LOC1,sham
147,theta,-2.62,7.19,0.01,SR,ESHOCK_09_LOC1,sham
151,delta,-1.8,4.29,0.0,SIR,ESHOCK_09_LOC1,sham
151,theta,-2.91,4.94,0.01,SIR,ESHOCK_09_LOC1,sham
152,delta,-2.63,4.31,0.0,FF,ESHOCK_09_LOC1,sham
152,theta,2.93,7.68,0.18,FF,ESHOCK_09_LOC1,sham
153,delta,-1.69,6.15,0.0,SIR,ESHOCK_09_LOC1,sham
153,theta,2.91,7.75,0.22,SIR,ESHOCK_09_LOC1,sham
154,delta,-2.58,5.14,0.0,FF,ESHOCK_09_LOC1,sham
154,theta,-2.94,7.19,0.0,FF,ESHOCK_09_LOC1,sham
155,delta,-2.42,4.95,0.0,SR,ESHOCK_09_LOC1,sham
155,theta,-0.19,6.58,0.01,SR,ESHOCK_09_LOC1,sham
156,delta,-2.82,4.45,0.0,SR,ESHOCK_09_LOC1,sham
156,theta,2.11,7.64,0.33,SR,ESHOCK_09_LOC1,sham
157,delta,-2.78,4.27,0.0,FF,ESHOCK_09_LOC1,sham
157,theta,1.35,7.14,0.0,FF,ESHOCK_09_LOC1,sham
158,delta,0.09,5.05,0.0,SIR,ESHOCK_09_LOC1,sham
158,theta,1.47,7.33,0.29,SIR,ESHOCK_09_LOC1,sham
159,delta,-0.14,3.17,0.0,SIR,ESHOCK_09_LOC1,sham
159,theta,-2.42,7.06,0.0,SIR,ESHOCK_09_LOC1,sham
161,delta,-2.52,3.38,0.0,SR,ESHOCK_09_LOC1,sham
161,theta,-3.11,5.65,0.0,SR,ESHOCK_09_LOC1,sham
162,delta,1.77,4.5,0.0,FF,ESHOCK_09_LOC1,sham
162,theta,-1.0,8.96,0.25,FF,ESHOCK_09_LOC1,sham
163,delta,1.6,7.5,0.35,SR,ESHOCK_09_LOC1,sham
163,theta,-0.79,10.03,0.94,SR,ESHOCK_09_LOC1,sham
164,delta,-2.48,5.14,0.0,FF,ESHOCK_09_LOC1,sham
164,theta,2.19,11.3,0.94,FF,ESHOCK_09_LOC1,sham
166,delta,1.75,2.54,0.55,SR,ESHOCK_09_LOC1,sham
166,theta,0.48,5.94,0.22,SR,ESHOCK_09_LOC1,sham
167,delta,-2.74,5.29,0.0,SR,ESHOCK_09_LOC1,sham
167,theta,0.71,6.99,0.18,SR,ESHOCK_09_LOC1,sham
176,delta,-2.75,5.44,0.0,FF,ESHOCK_09_LOC1,sham
176,theta,-1.01,7.61,0.18,FF,ESHOCK_09_LOC1,sham
177,delta,-0.32,4.44,0.0,SR,ESHOCK_09_LOC1,sham
177,theta,2.15,9.39,0.64,SR,ESHOCK_09_LOC1,sham
178,delta,1.59,1.84,0.0,SR,ESHOCK_09_LOC1,sham
178,theta,-1.0,7.86,0.57,SR,ESHOCK_09_LOC1,sham
179,delta,-2.48,4.96,0.0,SIR,ESHOCK_09_LOC1,sham
179,theta,-0.63,6.24,0.08,SIR,ESHOCK_09_LOC1,sham
180,delta,-3.09,3.75,0.0,SIR,ESHOCK_09_LOC1,sham
180,theta,-0.88,5.19,0.55,SIR,ESHOCK_09_LOC1,sham
181,delta,-2.97,5.69,0.02,FF,ESHOCK_09_LOC1,sham
181,theta,0.47,9.26,0.8,FF,ESHOCK_09_LOC1,sham
182,delta,3.09,4.86,0.01,FF,ESHOCK_09_LOC1,sham
182,theta,0.45,6.34,0.0,FF,ESHOCK_09_LOC1,sham
184,delta,-2.49,1.92,0.43,SIR,ESHOCK_09_LOC1,sham
184,theta,1.15,6.14,0.84,SIR,ESHOCK_09_LOC1,sham
185,delta,-2.11,6.83,0.44,SR,ESHOCK_09_LOC1,sham
185,theta,2.62,7.4,0.28,SR,ESHOCK_09_LOC1,sham
1011,delta,-3.02,5.46,0.0,SR,hamilton_10,acute_cit
1011,theta,2.35,6.63,0.0,SR,hamilton_10,acute_cit
1013,delta,-1.17,7.58,0.92,SR,hamilton_10,acute_cit
1013,theta,1.92,7.15,0.18,SR,hamilton_10,acute_cit
1014,delta,-2.33,3.19,0.0,SIR,hamilton_10,acute_cit
1014,theta,0.78,4.16,0.0,SIR,hamilton_10,acute_cit
1015,delta,-2.04,6.98,0.74,SR,hamilton_10,acute_cit
1015,theta,1.33,6.34,0.0,SR,hamilton_10,acute_cit
1016,delta,2.22,7.52,0.67,SR,hamilton_10,acute_cit
1016,theta,-0.05,3.71,0.52,SR,hamilton_10,acute_cit
1018,delta,-2.36,5.03,0.02,SR,hamilton_10,acute_cit
1018,theta,0.55,2.29,0.1,SR,hamilton_10,acute_cit
1019,delta,1.04,6.21,0.4,SIR,hamilton_10,acute_cit
1019,theta,1.36,6.82,0.17,SIR,hamilton_10,acute_cit
1020,delta,-2.41,5.38,0.54,SIR,hamilton_10,acute_cit
1020,theta,1.45,7.52,0.97,SIR,hamilton_10,acute_cit
2406,delta,2.84,5.22,0.0,SR,acute_16,acute_saline
2406,theta,1.35,5.78,0.0,SR,acute_16,acute_saline
2407,delta,-0.52,4.17,0.02,SIR,acute_16,acute_saline
2407,theta,-2.71,3.78,0.02,SIR,acute_16,acute_saline
2408,delta,2.92,6.44,0.0,FF,acute_16,acute_saline
2408,theta,-0.25,4.7,0.0,FF,acute_16,acute_saline
2410,delta,2.48,5.48,0.0,SIR,acute_16,acute_saline
2410,theta,0.28,6.18,0.0,SIR,acute_16,acute_saline
2411,delta,2.81,4.68,0.0,SR,acute_16,acute_saline
2411,theta,0.08,5.55,0.0,SR,acute_16,acute_saline
2412,delta,0.29,4.52,0.28,SIR,acute_16,acute_saline
2412,theta,-2.96,4.33,0.0,SIR,acute_16,acute_saline
2413,delta,-1.52,3.2,0.0,SIR,acute_16,acute_saline
2413,theta,3.09,4.36,0.0,SIR,acute_16,acute_saline
2414,delta,-0.55,3.53,0.01,SR,acute_16,acute_saline
2414,theta,2.61,5.67,0.15,SR,acute_16,acute_saline
2415,delta,-0.99,4.35,0.0,FF,acute_16,acute_saline
2415,theta,2.0,7.52,0.0,FF,acute_16,acute_saline
2418,delta,-2.68,5.96,0.0,SIR,acute_16,acute_saline
2418,theta,-0.26,7.23,0.18,SIR,acute_16,acute_saline
2420,delta,3.1,4.8,0.0,FF,acute_16,acute_saline
2420,theta,-2.86,8.96,0.48,FF,acute_16,acute_saline
2422,delta,2.23,5.92,0.0,FF,acute_16,acute_saline
2422,theta,2.31,6.65,0.0,FF,acute_16,acute_saline
2424,delta,2.3,7.34,0.0,FF,acute_16,acute_saline
2424,theta,2.08,10.29,0.48,FF,acute_16,acute_saline
2425,delta,-1.46,2.0,0.0,SIR,acute_16,acute_saline
2425,theta,-0.08,6.94,0.8,SIR,acute_16,acute_saline
2428,delta,-2.46,6.2,0.0,SIR,acute_16,acute_saline
2428,theta,1.93,7.44,0.09,SIR,acute_16,acute_saline
2429,delta,-2.88,5.09,0.0,FF,acute_16,acute_saline
2429,theta,2.62,7.67,0.04,FF,acute_16,acute_saline
2524,delta,3.05,4.13,0.01,SR,acute_12,acute_saline
2524,theta,3.11,7.37,0.47,SR,acute_12,acute_saline
2525,delta,-1.49,4.89,0.13,SR,acute_12,acute_saline
2525,theta,2.31,7.33,0.64,SR,acute_12,acute_saline
