neuron_id,n_sw,n_act,Mean_sw,Mean_act,Diff,U,p,sig,Diff_raw
1,546.0,1253.0,-0.12,0.05,0.17,385431.5,0.0,True,0.59
4,546.0,1253.0,1.02,-0.44,-1.46,648256.0,0.0,True,-10.4
5,546.0,1253.0,0.52,-0.23,-0.75,510522.0,0.0,True,-4.4
6,546.0,1253.0,1.13,-0.49,-1.62,646814.0,0.0,True,-3.52
8,546.0,1253.0,1.23,-0.54,-1.77,668053.5,0.0,True,-6.08
9,509.0,1290.0,0.17,-0.07,-0.24,375503.0,0.0,True,-0.33
12,509.0,1290.0,0.62,-0.25,-0.87,477012.0,0.0,True,-1.39
17,509.0,1290.0,0.28,-0.11,-0.39,423756.5,0.0,True,-0.73
18,509.0,1290.0,0.2,-0.08,-0.28,398639.5,0.0,True,-0.48
22,509.0,1290.0,-0.4,0.16,0.55,242126.0,0.0,True,2.11
27,509.0,1290.0,-0.03,0.01,0.05,342835.5,0.14,False,0.07
31,509.0,1290.0,0.76,-0.3,-1.06,513680.5,0.0,True,-3.85
32,509.0,1290.0,0.25,-0.1,-0.35,398583.0,0.0,True,-0.83
33,509.0,1290.0,0.05,-0.02,-0.06,339993.0,0.15,False,-0.05
34,509.0,1290.0,0.43,-0.17,-0.6,434767.0,0.0,True,-0.73
35,509.0,1290.0,0.18,-0.07,-0.26,354121.0,0.0,True,-0.12
36,509.0,1290.0,-0.51,0.2,0.71,197258.0,0.0,True,2.16
37,509.0,1290.0,0.51,-0.2,-0.71,466575.0,0.0,True,-2.32
38,509.0,1290.0,-0.08,0.03,0.12,283272.5,0.0,True,0.23
39,509.0,1290.0,0.51,-0.2,-0.72,448862.5,0.0,True,-1.18
40,509.0,1290.0,0.53,-0.21,-0.74,472218.0,0.0,True,-1.36
41,509.0,1290.0,-0.19,0.08,0.27,292325.0,0.0,True,0.96
42,509.0,1290.0,0.38,-0.15,-0.53,420881.5,0.0,True,-1.64
43,509.0,1290.0,0.46,-0.18,-0.64,450853.5,0.0,True,-3.24
44,509.0,1290.0,0.46,-0.18,-0.65,444735.0,0.0,True,-1.93
45,509.0,1290.0,1.03,-0.41,-1.44,567917.5,0.0,True,-13.4
46,509.0,1290.0,0.67,-0.27,-0.94,505034.0,0.0,True,-6.39
47,509.0,1290.0,-0.67,0.27,0.94,161962.0,0.0,True,1.88
48,1019.0,780.0,0.07,-0.09,-0.16,439961.5,0.0,True,-0.19
49,1019.0,780.0,-0.27,0.35,0.61,253213.5,0.0,True,3.79
50,1019.0,780.0,0.14,-0.18,-0.32,517758.5,0.0,True,-0.56
51,1019.0,780.0,0.04,-0.05,-0.08,363480.5,0.0,False,-0.1
52,1019.0,780.0,-0.0,0.01,0.01,430523.0,0.0,False,0.01
54,1019.0,780.0,0.2,-0.26,-0.46,481093.5,0.0,True,-0.44
55,1019.0,780.0,0.18,-0.23,-0.41,484453.5,0.0,True,-0.76
57,1019.0,780.0,-0.21,0.27,0.47,289989.5,0.0,True,3.8
58,1019.0,780.0,-0.25,0.33,0.58,281522.5,0.0,True,1.09
59,1019.0,780.0,-0.16,0.21,0.37,319015.0,0.0,True,0.4
60,1019.0,780.0,-0.03,0.04,0.07,383597.5,0.22,False,0.17
62,1019.0,780.0,-0.31,0.4,0.71,233715.5,0.0,True,2.29
63,1019.0,780.0,0.07,-0.08,-0.15,406480.0,0.14,False,-0.07
64,1019.0,780.0,-0.0,0.01,0.01,381911.0,0.16,False,0.02
69,1019.0,780.0,-0.12,0.16,0.29,318779.5,0.0,True,0.73
70,1019.0,780.0,-0.16,0.21,0.37,315355.5,0.0,True,0.75
71,1019.0,780.0,-0.03,0.03,0.06,394660.0,0.13,False,0.01
73,1019.0,780.0,0.2,-0.26,-0.46,492836.5,0.0,True,-0.49
74,1019.0,780.0,0.23,-0.3,-0.53,534724.5,0.0,True,-1.37
75,1019.0,780.0,-0.14,0.18,0.32,322813.0,0.0,True,0.59
76,1019.0,780.0,0.03,-0.04,-0.06,413509.0,0.12,False,-0.22
77,1019.0,780.0,-0.2,0.26,0.46,290573.0,0.0,True,0.86
81,1196.0,603.0,0.07,-0.14,-0.21,415209.5,0.0,True,-1.22
82,1196.0,603.0,-0.07,0.13,0.2,311842.0,0.0,True,0.32
84,1196.0,603.0,-0.38,0.75,1.12,93410.0,0.0,True,1.75
85,1196.0,603.0,-0.33,0.66,0.99,76860.0,0.0,True,2.1
86,1196.0,603.0,-0.35,0.7,1.06,176809.0,0.0,True,6.12
88,1196.0,603.0,-0.22,0.45,0.67,193186.5,0.0,True,3.72
