neuron_id,burst_4,burst_3,no_wf_3,wf_3,wf_4
1,sr_narrow,sir,sr,sir,sr_narrow
4,sr_narrow,sir,sir,sir,sr_narrow
5,sr_narrow,ff,sr,sir,sr_narrow
6,sr_narrow,sir,sr,sir,sr_narrow
8,sr_wide,sr,sr,sr,sr_wide
9,sr_wide,sr,sr,sr,sr_wide
12,sir,sir,sir,sir,sir
17,sr_wide,sr,sr,sr,sr_narrow
18,sr_wide,sr,sir,sr,sr_wide
22,sir,sir,sir,sir,sir
27,sir,sir,sir,sir,sir
31,sr_narrow,sr,sr,sr,sr_narrow
32,sr_narrow,sr,sr,sr,sr_narrow
33,sr_wide,sr,sr,sr,sr_wide
34,sir,sir,sir,sir,sir
35,sr_wide,sr,sr,sr,sr_wide
36,sr_wide,sr,sr,sr,sr_wide
37,sr_wide,sr,sr,sr,sr_wide
38,sr_wide,sr,sr,sr,sr_wide
39,sr_wide,sr,sr,sr,sr_wide
40,sr_wide,sr,sr,sr,sr_narrow
41,sr_wide,sr,sr,sr,sr_wide
42,ff,ff,ff,ff,sr_narrow
43,ff,ff,ff,ff,ff
44,sr_wide,sr,sr,sr,sr_wide
45,ff,ff,ff,ff,ff
46,ff,ff,ff,ff,ff
47,sr_wide,sr,sr,sr,sr_narrow
48,sr_wide,sr,sr,sr,sr_narrow
49,ff,ff,ff,ff,sr_narrow
50,sr_wide,sr,sr,sr,sr_wide
51,sr_wide,sr,sr,sr,sr_wide
52,sr_wide,sr,sr,sr,sr_wide
54,sr_wide,sr,sr,sr,sr_wide
55,sr_wide,sr,sr,sr,sr_wide
57,ff,ff,ff,ff,ff
58,sr_narrow,sr,sr,ff,sr_narrow
59,sr_wide,sr,sr,sr,sr_wide
60,ff,ff,ff,ff,ff
62,ff,ff,ff,ff,ff
63,sir,sir,sir,sir,sir
64,sir,sir,sir,sir,sir
69,sr_narrow,sir,sir,sir,sir
70,sr_narrow,ff,sr,ff,sr_narrow
71,sir,sir,sir,sir,sir
73,sr_wide,sr,sr,sr,sr_narrow
74,sr_wide,sr,sr,sr,sr_wide
75,sr_wide,sr,sr,sr,sr_wide
76,sr_narrow,sir,sir,sir,sir
77,sir,sir,sir,sir,sir
