neuron_1,neuron_2,corr,comb,session_name,bin_width,state
1,4,-0.0017073743427870988,"[1, 4]",ESHOCK_03_LOC1,0.05,sw
1,5,0.1870298091877554,"[1, 5]",ESHOCK_03_LOC1,0.05,sw
4,5,0.24174019084113166,"[4, 5]",ESHOCK_03_LOC1,0.05,sw
1,6,0.03803119803145209,"[1, 6]",ESHOCK_03_LOC1,0.05,sw
4,6,0.04947596241654949,"[4, 6]",ESHOCK_03_LOC1,0.05,sw
5,6,0.06240626900448647,"[5, 6]",ESHOCK_03_LOC1,0.05,sw
1,8,0.018527972945812873,"[1, 8]",ESHOCK_03_LOC1,0.05,sw
4,8,0.05950295090433879,"[4, 8]",ESHOCK_03_LOC1,0.05,sw
5,8,0.0714579268701141,"[5, 8]",ESHOCK_03_LOC1,0.05,sw
6,8,0.021624723909321967,"[6, 8]",ESHOCK_03_LOC1,0.05,sw
9,12,0.01823676406117019,"[9, 12]",ESHOCK_04_LOC1,0.05,sw
9,17,-0.0024831232309210963,"[9, 17]",ESHOCK_04_LOC1,0.05,sw
12,17,-0.002207374850718562,"[12, 17]",ESHOCK_04_LOC1,0.05,sw
9,18,0.029815767649667795,"[9, 18]",ESHOCK_04_LOC1,0.05,sw
12,18,0.00926860927731251,"[12, 18]",ESHOCK_04_LOC1,0.05,sw
17,18,0.02194487415462292,"[17, 18]",ESHOCK_04_LOC1,0.05,sw
9,22,0.015531048564623433,"[9, 22]",ESHOCK_04_LOC1,0.05,sw
12,22,0.0026987908150392136,"[12, 22]",ESHOCK_04_LOC1,0.05,sw
17,22,-0.025361309748068495,"[17, 22]",ESHOCK_04_LOC1,0.05,sw
18,22,-0.0078043233898398585,"[18, 22]",ESHOCK_04_LOC1,0.05,sw
9,27,0.0003207494444414493,"[9, 27]",ESHOCK_04_LOC1,0.05,sw
12,27,0.027292683592998017,"[12, 27]",ESHOCK_04_LOC1,0.05,sw
17,27,0.03464554264060497,"[17, 27]",ESHOCK_04_LOC1,0.05,sw
18,27,0.0185973802769622,"[18, 27]",ESHOCK_04_LOC1,0.05,sw
22,27,-0.010869014790213627,"[22, 27]",ESHOCK_04_LOC1,0.05,sw
9,31,0.0031174880397783736,"[9, 31]",ESHOCK_04_LOC1,0.05,sw
12,31,0.06802269872866357,"[12, 31]",ESHOCK_04_LOC1,0.05,sw
17,31,0.013750956717988034,"[17, 31]",ESHOCK_04_LOC1,0.05,sw
18,31,0.012901212686572485,"[18, 31]",ESHOCK_04_LOC1,0.05,sw
22,31,-0.006695915313448306,"[22, 31]",ESHOCK_04_LOC1,0.05,sw
27,31,0.028210555980706285,"[27, 31]",ESHOCK_04_LOC1,0.05,sw
9,32,0.01177731428306492,"[9, 32]",ESHOCK_04_LOC1,0.05,sw
12,32,-0.015038140326220544,"[12, 32]",ESHOCK_04_LOC1,0.05,sw
17,32,0.008085883616839791,"[17, 32]",ESHOCK_04_LOC1,0.05,sw
18,32,0.02079283504311284,"[18, 32]",ESHOCK_04_LOC1,0.05,sw
22,32,0.008662487692018722,"[22, 32]",ESHOCK_04_LOC1,0.05,sw
27,32,0.005119337371348479,"[27, 32]",ESHOCK_04_LOC1,0.05,sw
31,32,-0.06089624714673145,"[31, 32]",ESHOCK_04_LOC1,0.05,sw
9,33,0.017456332260450413,"[9, 33]",ESHOCK_04_LOC1,0.05,sw
12,33,0.02443525260718203,"[12, 33]",ESHOCK_04_LOC1,0.05,sw
17,33,0.010928958240513308,"[17, 33]",ESHOCK_04_LOC1,0.05,sw
18,33,0.0164857631347081,"[18, 33]",ESHOCK_04_LOC1,0.05,sw
22,33,-0.021120511512477878,"[22, 33]",ESHOCK_04_LOC1,0.05,sw
27,33,0.005673400712822465,"[27, 33]",ESHOCK_04_LOC1,0.05,sw
31,33,0.005682772041801062,"[31, 33]",ESHOCK_04_LOC1,0.05,sw
32,33,0.004632129776575671,"[32, 33]",ESHOCK_04_LOC1,0.05,sw
9,34,-0.01956132381900136,"[9, 34]",ESHOCK_04_LOC1,0.05,sw
12,34,-0.010522453373459948,"[12, 34]",ESHOCK_04_LOC1,0.05,sw
17,34,-0.035990821030433155,"[17, 34]",ESHOCK_04_LOC1,0.05,sw
