neuron_1,neuron_2,corr,comb,session_name,bin_width,p,sig
1,4,-0.0109730181512996,"[1, 4]",ESHOCK_03_LOC1,1.0,1.0,False
1,5,0.6867522975304724,"[1, 5]",ESHOCK_03_LOC1,1.0,0.0,True
4,5,0.5608866998953336,"[4, 5]",ESHOCK_03_LOC1,1.0,0.0,True
1,6,0.0649021014857664,"[1, 6]",ESHOCK_03_LOC1,1.0,1.0,False
4,6,0.6643567580903605,"[4, 6]",ESHOCK_03_LOC1,1.0,0.0,True
5,6,0.4676955516342242,"[5, 6]",ESHOCK_03_LOC1,1.0,0.0,True
1,8,-0.0097520841585373,"[1, 8]",ESHOCK_03_LOC1,1.0,1.0,False
4,8,0.7375796553723805,"[4, 8]",ESHOCK_03_LOC1,1.0,0.0,True
5,8,0.4208253726138554,"[5, 8]",ESHOCK_03_LOC1,1.0,0.20016755741730463,False
6,8,0.7699481832035907,"[6, 8]",ESHOCK_03_LOC1,1.0,0.0,True
9,12,0.2139781037556287,"[9, 12]",ESHOCK_04_LOC1,1.0,0.0,True
9,17,0.4902979547048779,"[9, 17]",ESHOCK_04_LOC1,1.0,0.0,True
12,17,0.3787962154599867,"[12, 17]",ESHOCK_04_LOC1,1.0,0.0,True
9,18,0.4173703610848322,"[9, 18]",ESHOCK_04_LOC1,1.0,0.0,True
12,18,0.2617301694568851,"[12, 18]",ESHOCK_04_LOC1,1.0,0.0,True
17,18,0.6145886268072879,"[17, 18]",ESHOCK_04_LOC1,1.0,0.0,True
9,22,-0.4111612487890295,"[9, 22]",ESHOCK_04_LOC1,1.0,0.0,True
12,22,-0.3114188425299799,"[12, 22]",ESHOCK_04_LOC1,1.0,0.0,True
17,22,-0.4481657331537474,"[17, 22]",ESHOCK_04_LOC1,1.0,0.0,True
18,22,-0.4428365307061673,"[18, 22]",ESHOCK_04_LOC1,1.0,0.0,True
9,27,-0.0073326525734561,"[9, 27]",ESHOCK_04_LOC1,1.0,0.730605828220859,False
12,27,0.0826386342829217,"[12, 27]",ESHOCK_04_LOC1,1.0,0.0,True
17,27,0.203678529200346,"[17, 27]",ESHOCK_04_LOC1,1.0,0.0,True
18,27,0.1043944891515557,"[18, 27]",ESHOCK_04_LOC1,1.0,0.0,True
22,27,0.2890896209277557,"[22, 27]",ESHOCK_04_LOC1,1.0,0.0,True
9,31,0.3288887202150093,"[9, 31]",ESHOCK_04_LOC1,1.0,0.0,True
12,31,0.6351886626214199,"[12, 31]",ESHOCK_04_LOC1,1.0,0.0,True
17,31,0.5990842670305878,"[17, 31]",ESHOCK_04_LOC1,1.0,0.0,True
18,31,0.4622416916065959,"[18, 31]",ESHOCK_04_LOC1,1.0,0.0,True
22,31,-0.4452034469336899,"[22, 31]",ESHOCK_04_LOC1,1.0,0.0,True
27,31,0.1334892301183673,"[27, 31]",ESHOCK_04_LOC1,1.0,0.0,True
9,32,0.4427111927598645,"[9, 32]",ESHOCK_04_LOC1,1.0,0.0,True
12,32,0.2209490665246114,"[12, 32]",ESHOCK_04_LOC1,1.0,0.0,True
17,32,0.5293325230769715,"[17, 32]",ESHOCK_04_LOC1,1.0,0.0,True
18,32,0.5006021939123172,"[18, 32]",ESHOCK_04_LOC1,1.0,0.0,True
22,32,-0.517298352174036,"[22, 32]",ESHOCK_04_LOC1,1.0,0.0,True
27,32,-0.0569057385365004,"[27, 32]",ESHOCK_04_LOC1,1.0,0.054148171303532354,False
31,32,0.3591041160365551,"[31, 32]",ESHOCK_04_LOC1,1.0,0.0,True
9,33,0.2681595613156841,"[9, 33]",ESHOCK_04_LOC1,1.0,0.0,True
12,33,0.1462674706369464,"[12, 33]",ESHOCK_04_LOC1,1.0,0.0,True
17,33,0.4409753535131245,"[17, 33]",ESHOCK_04_LOC1,1.0,0.0,True
18,33,0.3697604816301603,"[18, 33]",ESHOCK_04_LOC1,1.0,0.0,True
22,33,-0.1825806821920069,"[22, 33]",ESHOCK_04_LOC1,1.0,0.0,True
27,33,0.233959052014371,"[27, 33]",ESHOCK_04_LOC1,1.0,0.0,True
31,33,0.2818700616122777,"[31, 33]",ESHOCK_04_LOC1,1.0,0.0,True
32,33,0.2513966885143091,"[32, 33]",ESHOCK_04_LOC1,1.0,0.0,True
9,34,0.0343573432647649,"[9, 34]",ESHOCK_04_LOC1,1.0,0.14091258689542968,False
12,34,0.0260562086541156,"[12, 34]",ESHOCK_04_LOC1,1.0,0.34826539101497506,False
17,34,-0.0921703892038091,"[17, 34]",ESHOCK_04_LOC1,1.0,0.0,True
18,34,0.020078731011921,"[18, 34]",ESHOCK_04_LOC1,1.0,0.5601016233337733,False
22,34,-0.2307530935639555,"[22, 34]",ESHOCK_04_LOC1,1.0,0.0,True
27,34,-0.2443455956725608,"[27, 34]",ESHOCK_04_LOC1,1.0,0.0,True
31,34,0.0451376190835611,"[31, 34]",ESHOCK_04_LOC1,1.0,0.25868439766747264,False
32,34,0.3159619337754099,"[32, 34]",ESHOCK_04_LOC1,1.0,0.0,True
33,34,-0.1137466892662967,"[33, 34]",ESHOCK_04_LOC1,1.0,0.0,True
9,35,0.2514152978780176,"[9, 35]",ESHOCK_04_LOC1,1.0,0.0,True
12,35,0.1661690525600868,"[12, 35]",ESHOCK_04_LOC1,1.0,0.0,True
17,35,0.4200052937313484,"[17, 35]",ESHOCK_04_LOC1,1.0,0.0,True
18,35,0.3724982724026675,"[18, 35]",ESHOCK_04_LOC1,1.0,0.0,True
22,35,-0.2408184918079398,"[22, 35]",ESHOCK_04_LOC1,1.0,0.0,True
