neuron_1,neuron_2,corr,comb,session_name,bin_width
1,4,-0.0017782792174683877,"[1, 4]",ESHOCK_03_LOC1,0.05
1,5,0.36789608477209307,"[1, 5]",ESHOCK_03_LOC1,0.05
4,5,0.26296616301065423,"[4, 5]",ESHOCK_03_LOC1,0.05
1,6,0.023304633067275593,"[1, 6]",ESHOCK_03_LOC1,0.05
4,6,0.1729591654470246,"[4, 6]",ESHOCK_03_LOC1,0.05
5,6,0.13542078497588264,"[5, 6]",ESHOCK_03_LOC1,0.05
1,8,0.004013348616980668,"[1, 8]",ESHOCK_03_LOC1,0.05
4,8,0.21805543420912155,"[4, 8]",ESHOCK_03_LOC1,0.05
5,8,0.1450935443180043,"[5, 8]",ESHOCK_03_LOC1,0.05
6,8,0.14353075624648773,"[6, 8]",ESHOCK_03_LOC1,0.05
9,12,0.015145925390337368,"[9, 12]",ESHOCK_04_LOC1,0.05
9,17,0.02789792260053041,"[9, 17]",ESHOCK_04_LOC1,0.05
12,17,0.028006094458416092,"[12, 17]",ESHOCK_04_LOC1,0.05
9,18,0.042534205842756675,"[9, 18]",ESHOCK_04_LOC1,0.05
12,18,0.009490797791770941,"[12, 18]",ESHOCK_04_LOC1,0.05
17,18,0.06471221185907917,"[17, 18]",ESHOCK_04_LOC1,0.05
9,22,-0.03485524037430926,"[9, 22]",ESHOCK_04_LOC1,0.05
12,22,-0.03141970702869419,"[12, 22]",ESHOCK_04_LOC1,0.05
17,22,-0.05243418673194128,"[17, 22]",ESHOCK_04_LOC1,0.05
18,22,-0.047793551060536184,"[18, 22]",ESHOCK_04_LOC1,0.05
9,27,-0.006478363047050494,"[9, 27]",ESHOCK_04_LOC1,0.05
12,27,0.01326231165944569,"[12, 27]",ESHOCK_04_LOC1,0.05
17,27,0.020908503491929808,"[17, 27]",ESHOCK_04_LOC1,0.05
18,27,0.016169012944740782,"[18, 27]",ESHOCK_04_LOC1,0.05
22,27,0.0335352624923923,"[22, 27]",ESHOCK_04_LOC1,0.05
9,31,0.043300343568835165,"[9, 31]",ESHOCK_04_LOC1,0.05
12,31,0.08345265696062694,"[12, 31]",ESHOCK_04_LOC1,0.05
17,31,0.0809983953367575,"[17, 31]",ESHOCK_04_LOC1,0.05
18,31,0.060461008272712474,"[18, 31]",ESHOCK_04_LOC1,0.05
22,31,-0.07447103966685946,"[22, 31]",ESHOCK_04_LOC1,0.05
27,31,0.016633281767471576,"[27, 31]",ESHOCK_04_LOC1,0.05
9,32,0.03232861517391979,"[9, 32]",ESHOCK_04_LOC1,0.05
12,32,0.025113072392918916,"[12, 32]",ESHOCK_04_LOC1,0.05
17,32,0.05925151646727729,"[17, 32]",ESHOCK_04_LOC1,0.05
