neuron_1,neuron_2,pcorr,comb,session_name,bin_width,p,sig
1,4,-0.5283475832810817,"[1, 4]",ESHOCK_03_LOC1,1.0,0.0,True
1,5,0.8351432775500266,"[1, 5]",ESHOCK_03_LOC1,1.0,0.0,True
4,5,0.6160328239614367,"[4, 5]",ESHOCK_03_LOC1,1.0,0.0,True
1,6,-0.0552210171155826,"[1, 6]",ESHOCK_03_LOC1,1.0,0.7148356669123066,False
4,6,0.0881593010056419,"[4, 6]",ESHOCK_03_LOC1,1.0,0.9694379614193854,False
5,6,0.142861396537439,"[5, 6]",ESHOCK_03_LOC1,1.0,0.5442544157608696,False
1,8,0.0110136078337096,"[1, 8]",ESHOCK_03_LOC1,1.0,0.9971380393068963,False
4,8,0.4055286237217246,"[4, 8]",ESHOCK_03_LOC1,1.0,0.20965867828612927,False
5,8,-0.0576727928667435,"[5, 8]",ESHOCK_03_LOC1,1.0,0.9868636203453542,False
6,8,0.5590989439129243,"[6, 8]",ESHOCK_03_LOC1,1.0,0.0,True
9,12,-0.0007334305759888,"[9, 12]",ESHOCK_04_LOC1,1.0,0.9758005218216318,False
9,17,0.0876040933145067,"[9, 17]",ESHOCK_04_LOC1,1.0,0.0,True
12,17,0.0011645058236274,"[12, 17]",ESHOCK_04_LOC1,1.0,0.9758005218216318,False
9,18,0.0339973039612924,"[9, 18]",ESHOCK_04_LOC1,1.0,0.39151533018867923,False
12,18,-0.0567041305680181,"[12, 18]",ESHOCK_04_LOC1,1.0,0.030453586497890296,True
17,18,0.1069375289067656,"[17, 18]",ESHOCK_04_LOC1,1.0,0.0,True
9,22,-0.0918542654720488,"[9, 22]",ESHOCK_04_LOC1,1.0,0.0,True
12,22,-0.0020727990202346,"[12, 22]",ESHOCK_04_LOC1,1.0,0.9604773384763742,False
17,22,-0.1047901491827642,"[17, 22]",ESHOCK_04_LOC1,1.0,0.0,True
18,22,-0.1032664553835488,"[18, 22]",ESHOCK_04_LOC1,1.0,0.0,True
9,27,-0.0478113337456579,"[9, 27]",ESHOCK_04_LOC1,1.0,0.07890373519587002,False
12,27,0.0234664060318455,"[12, 27]",ESHOCK_04_LOC1,1.0,0.4393142964493707,False
17,27,0.0390581812313428,"[17, 27]",ESHOCK_04_LOC1,1.0,0.35314984709480124,False
18,27,-0.0427088157720038,"[18, 27]",ESHOCK_04_LOC1,1.0,0.1590842298609289,False
22,27,0.1048814801918504,"[22, 27]",ESHOCK_04_LOC1,1.0,0.0,True
9,31,-0.0484320007705705,"[9, 31]",ESHOCK_04_LOC1,1.0,0.1766199337241907,False
12,31,0.308405205639818,"[12, 31]",ESHOCK_04_LOC1,1.0,0.0,True
17,31,0.0051311377188659,"[17, 31]",ESHOCK_04_LOC1,1.0,0.9367846607669618,False
18,31,0.010831274915541,"[18, 31]",ESHOCK_04_LOC1,1.0,0.7613526159081242,False
