dropped,score,session_name
SR,,ESHOCK_03_LOC1
SIR,,ESHOCK_03_LOC1
FF,,ESHOCK_03_LOC1
SR,,ESHOCK_04_LOC1
SIR,,ESHOCK_04_LOC1
FF,,ESHOCK_04_LOC1
SR,,ESHOCK_06_LOC1
SIR,,ESHOCK_06_LOC1
FF,,ESHOCK_06_LOC1
SR,,ESHOCK_07_LOC1
SIR,,ESHOCK_07_LOC1
FF,,ESHOCK_07_LOC1
SR,0.98238548275402,ESHOCK_08_LOC1
SIR,0.9902952979450207,ESHOCK_08_LOC1
FF,0.9804583664395002,ESHOCK_08_LOC1
SR,0.9470405895058207,ESHOCK_09_LOC1
SIR,0.9610958066410848,ESHOCK_09_LOC1
FF,0.9571359468550785,ESHOCK_09_LOC1
SR,,hamilton_10
SIR,,hamilton_10
FF,,hamilton_10
SR,,hamilton_03
SIR,,hamilton_03
FF,,hamilton_03
SR,,hamilton_04
SIR,,hamilton_04
FF,,hamilton_04
SR,,hamilton_09
SIR,,hamilton_09
FF,,hamilton_09
SR,0.7399758031239825,acute_15
SIR,0.7741125002273812,acute_15
FF,0.7529918529389537,acute_15
SR,,acute_16
SIR,,acute_16
FF,,acute_16
SR,,acute_14
SIR,,acute_14
FF,,acute_14
SR,0.8763551938277201,acute_12
SIR,0.9578274909913775,acute_12
FF,0.981495277899586,acute_12
SR,0.8390403371747688,acute_11
SIR,0.8489275877625533,acute_11
FF,0.8471638132039881,acute_11
