n_neurons,pop_score,session_name
1,0.5181905210225295,ESHOCK_03_LOC1
2,0.8195714426398881,ESHOCK_03_LOC1
3,0.8320861491115192,ESHOCK_03_LOC1
4,0.9175440867969431,ESHOCK_03_LOC1
5,0.916163245380802,ESHOCK_03_LOC1
6,,ESHOCK_03_LOC1
7,,ESHOCK_03_LOC1
8,,ESHOCK_03_LOC1
9,,ESHOCK_03_LOC1
10,,ESHOCK_03_LOC1
11,,ESHOCK_03_LOC1
12,,ESHOCK_03_LOC1
13,,ESHOCK_03_LOC1
14,,ESHOCK_03_LOC1
15,,ESHOCK_03_LOC1
16,,ESHOCK_03_LOC1
17,,ESHOCK_03_LOC1
18,,ESHOCK_03_LOC1
19,,ESHOCK_03_LOC1
20,,ESHOCK_03_LOC1
21,,ESHOCK_03_LOC1
22,,ESHOCK_03_LOC1
23,,ESHOCK_03_LOC1
24,,ESHOCK_03_LOC1
25,,ESHOCK_03_LOC1
26,,ESHOCK_03_LOC1
27,,ESHOCK_03_LOC1
28,,ESHOCK_03_LOC1
29,,ESHOCK_03_LOC1
30,,ESHOCK_03_LOC1
1,0.5124872991877943,ESHOCK_04_LOC1
2,0.6380769278387942,ESHOCK_04_LOC1
3,0.7119995358576736,ESHOCK_04_LOC1
4,0.7224578238403414,ESHOCK_04_LOC1
5,0.8234436222561591,ESHOCK_04_LOC1
6,0.7439134078895714,ESHOCK_04_LOC1
7,0.7531542218806775,ESHOCK_04_LOC1
8,0.796316931591437,ESHOCK_04_LOC1
9,0.7763132445316537,ESHOCK_04_LOC1
10,0.8486045163835001,ESHOCK_04_LOC1
11,0.772295409057979,ESHOCK_04_LOC1
12,0.8552816968633271,ESHOCK_04_LOC1
13,0.8490497121495928,ESHOCK_04_LOC1
14,0.853520153441039,ESHOCK_04_LOC1
15,0.8090180067432369,ESHOCK_04_LOC1
16,0.8419966036035887,ESHOCK_04_LOC1
17,0.8538291537639783,ESHOCK_04_LOC1
18,0.8623715200940545,ESHOCK_04_LOC1
19,0.8593721315110804,ESHOCK_04_LOC1
20,0.8545168643920225,ESHOCK_04_LOC1
21,0.8561268492484497,ESHOCK_04_LOC1
22,0.8583210880616218,ESHOCK_04_LOC1
23,0.8576972064927253,ESHOCK_04_LOC1
24,,ESHOCK_04_LOC1
25,,ESHOCK_04_LOC1
26,,ESHOCK_04_LOC1
27,,ESHOCK_04_LOC1
28,,ESHOCK_04_LOC1
29,,ESHOCK_04_LOC1
30,,ESHOCK_04_LOC1
1,0.6352336496679946,ESHOCK_06_LOC1
2,0.6378065510533937,ESHOCK_06_LOC1
3,0.6546655449032615,ESHOCK_06_LOC1
4,0.7226836569642026,ESHOCK_06_LOC1
5,0.6470307138527562,ESHOCK_06_LOC1
6,0.776144892672981,ESHOCK_06_LOC1
7,0.7705240800781405,ESHOCK_06_LOC1
8,0.7031448997888008,ESHOCK_06_LOC1
9,0.734997752273728,ESHOCK_06_LOC1
10,0.7746088570690801,ESHOCK_06_LOC1
11,0.7438182422709567,ESHOCK_06_LOC1
12,0.7868604541704824,ESHOCK_06_LOC1
13,0.7694589822550568,ESHOCK_06_LOC1
14,0.7660121488570251,ESHOCK_06_LOC1
15,0.7839929631410554,ESHOCK_06_LOC1
16,0.7344826315772934,ESHOCK_06_LOC1
17,0.7947786076617731,ESHOCK_06_LOC1
18,0.7880594610479305,ESHOCK_06_LOC1
19,0.76721276806788,ESHOCK_06_LOC1
20,0.7764692160501733,ESHOCK_06_LOC1
21,0.784208175303862,ESHOCK_06_LOC1
22,0.7927529026359228,ESHOCK_06_LOC1
23,,ESHOCK_06_LOC1
24,,ESHOCK_06_LOC1
25,,ESHOCK_06_LOC1
26,,ESHOCK_06_LOC1
27,,ESHOCK_06_LOC1
28,,ESHOCK_06_LOC1
29,,ESHOCK_06_LOC1
30,,ESHOCK_06_LOC1
1,0.5981622413412818,ESHOCK_07_LOC1
2,0.8300310728182222,ESHOCK_07_LOC1
3,0.8773379429811987,ESHOCK_07_LOC1
4,0.9075665348898946,ESHOCK_07_LOC1
5,0.8123278465272389,ESHOCK_07_LOC1
6,0.919630543001988,ESHOCK_07_LOC1
7,0.9134283155109661,ESHOCK_07_LOC1
8,0.9245555496671116,ESHOCK_07_LOC1
9,0.9118545646246252,ESHOCK_07_LOC1
10,0.9364427684875899,ESHOCK_07_LOC1
11,0.9395661676115686,ESHOCK_07_LOC1
12,0.9424878669690434,ESHOCK_07_LOC1
13,0.945215164245212,ESHOCK_07_LOC1
14,,ESHOCK_07_LOC1
15,,ESHOCK_07_LOC1
16,,ESHOCK_07_LOC1
17,,ESHOCK_07_LOC1
18,,ESHOCK_07_LOC1
19,,ESHOCK_07_LOC1
20,,ESHOCK_07_LOC1
21,,ESHOCK_07_LOC1
22,,ESHOCK_07_LOC1
23,,ESHOCK_07_LOC1
24,,ESHOCK_07_LOC1
25,,ESHOCK_07_LOC1
26,,ESHOCK_07_LOC1
27,,ESHOCK_07_LOC1
28,,ESHOCK_07_LOC1
29,,ESHOCK_07_LOC1
30,,ESHOCK_07_LOC1
1,0.8600492350702655,ESHOCK_08_LOC1
2,1.0,ESHOCK_08_LOC1
3,0.9040089306829294,ESHOCK_08_LOC1
4,0.918826156717739,ESHOCK_08_LOC1
5,0.9588623433216499,ESHOCK_08_LOC1
6,0.9218690919318877,ESHOCK_08_LOC1
7,0.9717594245982097,ESHOCK_08_LOC1
