n_neurons,pop_score,session_name
1,0.6107118955378755,hamilton_04
2,0.3535632183908046,hamilton_04
3,0.7206466586521195,hamilton_04
4,0.544972965176055,hamilton_04
5,0.6600597112561926,hamilton_04
6,0.6764169368647546,hamilton_04
7,0.7461588032616546,hamilton_04
8,0.6972734082842098,hamilton_04
9,0.819011490361973,hamilton_04
10,0.7909417257637618,hamilton_04
11,0.8266215183889656,hamilton_04
12,0.7382539680748951,hamilton_04
13,0.8023450831958273,hamilton_04
14,0.8185836170061463,hamilton_04
15,0.8023450831958273,hamilton_04
16,0.8254301949243874,hamilton_04
17,,hamilton_04
18,,hamilton_04
19,,hamilton_04
20,,hamilton_04
21,,hamilton_04
22,,hamilton_04
23,,hamilton_04
24,,hamilton_04
25,,hamilton_04
26,,hamilton_04
27,,hamilton_04
28,,hamilton_04
29,,hamilton_04
1,0.7844963489191114,hamilton_09
2,0.38611500701262275,hamilton_09
3,0.8041719797826191,hamilton_09
4,0.8015275226026857,hamilton_09
5,0.8325496464132476,hamilton_09
6,0.6448115642040212,hamilton_09
7,0.7037046941775746,hamilton_09
8,0.8334342391162126,hamilton_09
9,0.8396364417567908,hamilton_09
10,0.8012283207236411,hamilton_09
11,0.8184528104390465,hamilton_09
12,0.8390223878203953,hamilton_09
13,0.829660969907118,hamilton_09
14,0.829660969907118,hamilton_09
15,0.8407673702990914,hamilton_09
16,,hamilton_09
17,,hamilton_09
18,,hamilton_09
19,,hamilton_09
20,,hamilton_09
21,,hamilton_09
22,,hamilton_09
23,,hamilton_09
24,,hamilton_09
25,,hamilton_09
26,,hamilton_09
27,,hamilton_09
28,,hamilton_09
29,,hamilton_09
1,0.3507626191592436,hamilton_31
2,0.41486685194825557,hamilton_31
3,0.5456628798128643,hamilton_31
4,0.40574275606734334,hamilton_31
5,0.4544651666158271,hamilton_31
6,0.46612462102647784,hamilton_31
7,0.45958995118871826,hamilton_31
8,0.489428388111459,hamilton_31
9,0.565411960162203,hamilton_31
10,0.536791962560181,hamilton_31
11,0.5049545964621418,hamilton_31
12,0.5059107749689669,hamilton_31
13,0.599031079654947,hamilton_31
14,0.5731890002364759,hamilton_31
15,0.5176793954748545,hamilton_31
16,0.5178860427126695,hamilton_31
17,0.5563475735505112,hamilton_31
18,0.6191470367506211,hamilton_31
19,0.5618118641914034,hamilton_31
20,0.5736110779965564,hamilton_31
21,0.5745267251068945,hamilton_31
22,0.5092455012007435,hamilton_31
23,0.55831781802305,hamilton_31
24,0.5137986415137876,hamilton_31
25,0.5882287587984287,hamilton_31
26,0.6247952861510976,hamilton_31
27,0.5510925223753366,hamilton_31
28,0.5664827422487178,hamilton_31
29,0.6236699472555854,hamilton_31
1,0.5423958315587114,hamilton_38
2,0.37368844889365,hamilton_38
3,0.44125635758748344,hamilton_38
4,0.5062043814759613,hamilton_38
5,0.5413309609427153,hamilton_38
6,0.6297455030038257,hamilton_38
7,0.45144159042487875,hamilton_38
8,0.5975743331161657,hamilton_38
9,0.7347686591271699,hamilton_38
10,0.7346236140357997,hamilton_38
11,0.7844700803818003,hamilton_38
12,0.7422101628549238,hamilton_38
13,0.7676718460610255,hamilton_38
14,0.786550909259829,hamilton_38
15,0.7295724262850488,hamilton_38
16,0.6810633852199067,hamilton_38
17,0.7984741020607611,hamilton_38
18,0.7084650351057501,hamilton_38
19,0.7816274166886537,hamilton_38
20,0.7382712476103264,hamilton_38
21,0.7934953777504858,hamilton_38
22,0.7093288401253979,hamilton_38
23,0.8056431059186593,hamilton_38
24,0.7663684064082943,hamilton_38
25,0.8089967933536407,hamilton_38
26,0.8058031165157216,hamilton_38
27,0.8090583960635727,hamilton_38
28,0.8115622652625447,hamilton_38
29,0.8111165774996408,hamilton_38
1,0.4590520138505824,hamilton_37
2,0.5337149078867636,hamilton_37
3,0.3906915327621201,hamilton_37
4,0.4594735602015606,hamilton_37
5,0.43254646082933357,hamilton_37
6,0.6052426231571919,hamilton_37
7,0.526453705512313,hamilton_37
8,0.6669606882047757,hamilton_37
9,0.5988538176832761,hamilton_37
10,0.6506364761229897,hamilton_37
11,0.6540462262141096,hamilton_37
