dropped,score,session_name
SR,,hamilton_04
SIR,,hamilton_04
FF,,hamilton_04
SR,,hamilton_09
SIR,,hamilton_09
FF,,hamilton_09
SR,0.8987235354129807,hamilton_31
SIR,0.8607799633406555,hamilton_31
FF,0.9203019848860483,hamilton_31
SR,0.9916327918998272,hamilton_38
SIR,0.989443282193615,hamilton_38
FF,0.991662763475326,hamilton_38
SR,0.8850844108961349,hamilton_37
SIR,0.9725675625274096,hamilton_37
FF,0.9826850709856767,hamilton_37
SR,0.9943585572344169,hamilton_35
SIR,0.9851015927049765,hamilton_35
FF,0.9817951241496988,hamilton_35
SR,,hamilton_36
SIR,,hamilton_36
FF,,hamilton_36
SR,0.869680469686231,hamilton_32
SIR,0.9586891765698853,hamilton_32
FF,0.9645981835885868,hamilton_32
