n_neurons,pop_score,session_name
1,0.8857142857142858,hamilton_04
2,0.48074512239194506,hamilton_04
3,0.41576037774895225,hamilton_04
4,0.4037259974394705,hamilton_04
5,0.4489958777367913,hamilton_04
6,0.7664574308812415,hamilton_04
7,0.7236508909762469,hamilton_04
8,0.6038460642735223,hamilton_04
9,0.7798010214799785,hamilton_04
10,0.7836783359733211,hamilton_04
11,0.8286220960521868,hamilton_04
12,0.8348055762286034,hamilton_04
13,0.8429380786600678,hamilton_04
14,0.839089033769978,hamilton_04
15,0.8536991993645682,hamilton_04
16,0.8567583197054484,hamilton_04
17,,hamilton_04
18,,hamilton_04
19,,hamilton_04
20,,hamilton_04
21,,hamilton_04
22,,hamilton_04
23,,hamilton_04
24,,hamilton_04
25,,hamilton_04
26,,hamilton_04
27,,hamilton_04
28,,hamilton_04
29,,hamilton_04
30,,hamilton_04
1,0.7956199677938809,hamilton_09
2,0.6199740788374741,hamilton_09
3,0.49247022255814504,hamilton_09
4,0.6613361289027679,hamilton_09
5,0.7516176703639039,hamilton_09
6,0.7444505909292592,hamilton_09
7,0.7759762498052549,hamilton_09
8,0.7723121974703754,hamilton_09
9,0.8002404585782683,hamilton_09
10,0.8501156705055571,hamilton_09
11,0.8706681516317213,hamilton_09
12,0.8272366081961522,hamilton_09
13,0.8341213730977074,hamilton_09
14,0.8532125648220887,hamilton_09
15,0.880861712617022,hamilton_09
16,,hamilton_09
17,,hamilton_09
18,,hamilton_09
19,,hamilton_09
20,,hamilton_09
21,,hamilton_09
22,,hamilton_09
23,,hamilton_09
24,,hamilton_09
25,,hamilton_09
26,,hamilton_09
27,,hamilton_09
28,,hamilton_09
29,,hamilton_09
30,,hamilton_09
1,0.40352007609372775,hamilton_31
2,0.6486877920488175,hamilton_31
3,0.5732311072920688,hamilton_31
4,0.6685680894316088,hamilton_31
5,0.6225864088321283,hamilton_31
6,0.636435965814442,hamilton_31
7,0.6865692760466874,hamilton_31
8,0.7419387063964181,hamilton_31
9,0.8295695740903664,hamilton_31
10,0.813311892479296,hamilton_31
11,0.8256932938658373,hamilton_31
12,0.8266575860555996,hamilton_31
13,0.7696928571129042,hamilton_31
14,0.7318078085081005,hamilton_31
15,0.9055579173775363,hamilton_31
16,0.8780946366742004,hamilton_31
17,0.8608719879284245,hamilton_31
18,0.8729238286808421,hamilton_31
19,0.8402483318374161,hamilton_31
20,0.9107258470726162,hamilton_31
21,0.9089749995026045,hamilton_31
22,0.926192842003348,hamilton_31
23,0.9087288464407864,hamilton_31
24,0.9267463455593281,hamilton_31
25,0.923492913259176,hamilton_31
26,0.9165646970150023,hamilton_31
27,0.9237479935847057,hamilton_31
28,0.9232373258664517,hamilton_31
29,0.9178453988186497,hamilton_31
30,0.9042888735003242,hamilton_31
1,0.4371026033935491,hamilton_38
2,0.5285252439561707,hamilton_38
3,0.8202276278410823,hamilton_38
4,0.8649331619734122,hamilton_38
5,0.8796035042281304,hamilton_38
6,0.9190929784865919,hamilton_38
7,0.974369157891602,hamilton_38
8,0.9025539150791022,hamilton_38
9,0.9089175511323102,hamilton_38
10,0.9672148734069465,hamilton_38
11,0.9855048824378194,hamilton_38
12,0.9837983604622214,hamilton_38
13,0.98313364472024,hamilton_38
14,0.9865993407220023,hamilton_38
15,0.9917098718476511,hamilton_38
16,0.9922144522907506,hamilton_38
17,0.9955340570954897,hamilton_38
18,0.9899415694693221,hamilton_38
19,0.9904637302944626,hamilton_38
20,0.9884244354624311,hamilton_38
21,0.991028970020705,hamilton_38
22,0.9905636678877039,hamilton_38
23,0.9904522337442062,hamilton_38
24,0.9928097984363602,hamilton_38
25,0.9938956796391063,hamilton_38
26,0.9903593511840609,hamilton_38
27,0.9905650009822944,hamilton_38
28,0.9921709830358317,hamilton_38
29,0.9907087242613116,hamilton_38
30,0.9938507355868751,hamilton_38
1,0.3685778265676454,hamilton_37
2,0.7027545256734428,hamilton_37
3,0.7804881556864175,hamilton_37
4,0.779747182577161,hamilton_37
5,0.6970763779024295,hamilton_37
6,0.8709813714583209,hamilton_37
7,0.8588974294449224,hamilton_37
8,0.9230329985227733,hamilton_37
9,0.8945284331732006,hamilton_37
10,0.9420604922168984,hamilton_37
11,0.8238182018922913,hamilton_37
12,0.9409431829404357,hamilton_37
13,0.9438258552396149,hamilton_37
14,0.938398282181303,hamilton_37
15,0.9467372963227337,hamilton_37
16,0.9468876893766348,hamilton_37
17,0.9702159004936608,hamilton_37
18,0.9683093534499371,hamilton_37
19,0.9560752610981776,hamilton_37
20,0.9597356253470579,hamilton_37
21,0.9234313870871617,hamilton_37
22,0.9810409682929873,hamilton_37
23,0.9653328849060043,hamilton_37
24,0.9833370194142012,hamilton_37
25,0.9804940840999962,hamilton_37
26,0.9675922711577656,hamilton_37
27,0.9701430290158772,hamilton_37
28,0.982242320969565,hamilton_37
29,0.9805249516094865,hamilton_37
30,0.9878323164917034,hamilton_37
1,0.4583774769695186,hamilton_35
2,0.6551217946106446,hamilton_35
3,0.7923346617723865,hamilton_35
4,0.7915920635008584,hamilton_35
5,0.9451182413284787,hamilton_35
6,0.9503409820719877,hamilton_35
7,0.9695581495332364,hamilton_35
8,0.900442986554127,hamilton_35
9,0.9677111263665064,hamilton_35
10,0.8892336050142085,hamilton_35
11,0.9666617773542306,hamilton_35
12,0.9531035111187741,hamilton_35
13,0.9828064400157238,hamilton_35
14,0.9491998382807225,hamilton_35
15,0.9709258978233379,hamilton_35
16,0.8953076723613794,hamilton_35
17,0.9821854671833963,hamilton_35
18,0.9499916288221215,hamilton_35
19,0.9379021696701345,hamilton_35
20,0.9834823226892622,hamilton_35
21,0.9780808047428472,hamilton_35
22,0.9756583752336448,hamilton_35
23,0.9769720913486519,hamilton_35
24,0.9915874121070353,hamilton_35
25,0.9877332897514222,hamilton_35
26,0.991115649227407,hamilton_35
27,0.9810953014118647,hamilton_35
28,0.9923080061084539,hamilton_35
29,0.9927690193363482,hamilton_35
30,0.990553473682436,hamilton_35
1,0.3523185314482223,hamilton_36
2,0.638384652262211,hamilton_36
3,0.604425035859651,hamilton_36
4,0.7494343036769907,hamilton_36
5,0.738575930953091,hamilton_36
6,0.7197650729605598,hamilton_36
7,0.744964041742279,hamilton_36
8,0.7425311344954932,hamilton_36
9,0.7854910319358733,hamilton_36
10,0.8431762689398374,hamilton_36
11,0.7472396916017308,hamilton_36
12,0.7676959391564265,hamilton_36
13,0.8933651409529988,hamilton_36
14,0.8884288247127389,hamilton_36
15,0.8536336535578677,hamilton_36
