ensemble_orig,size,average_degree,average_weight,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,state,bin_width,ensemble_id,prop_total,prop_total_SIR,comp_SIR,prop_total_SR,comp_SR,prop_total_FF,comp_FF,neuron_type_entropy,response_bs_entropy
0,7,2.887745200117853,0.2406454333431544,0.3900408293502123,0.4812908666863089,5.296834654531236,0.3438622633445616,0.7566906649330337,0.6969696969696969,1.0,0.0,0.0,0.0,0,acute_11,act,1.0,134,0.35294117647058826,0.15555555555555556,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.12,0.25,1.3844315043405981,1.3844315043405981
1,14,7.7414274527313,0.3010555120506616,0.5454896208830562,0.5954944194408692,17.55530139388592,0.3008003803481454,1.25395009956328,0.0,0.8181818181818182,0.0,0.0,0.0,1,acute_11,act,1.0,135,0.5,0.13333333333333333,0.35294117647058826,0.25,0.17647058823529413,0.32,0.47058823529411764,1.4836591643979626,1.260771793896794
2,5,1.150906769832642,0.1598481624767558,0.6702308902891395,0.2877266924581605,4.902388977219292,0.6301549887424261,0.9804777954438584,1.0,1.0,0.0,0.5568181818181818,0.0,2,acute_11,act,1.0,136,0.3235294117647059,0.13333333333333333,0.5454545454545454,0.16666666666666666,0.18181818181818182,0.12,0.2727272727272727,1.4353713907745334,1.3092966682370037
3,8,4.117715438321291,0.3167473414093301,0.7288586473755722,0.5882450626173272,18.70750490227279,0.5317900369122774,2.338438112784099,0.2045454545454545,0.8181818181818182,0.1022727272727272,0.1969696969696969,0.5340909090909091,-1,acute_11,act,1.0,-1,0.38235294117647056,0.37777777777777777,1.3076923076923077,0.08333333333333333,0.07692307692307693,0.08,0.15384615384615385,0.747584679824574,1.3041951730874437
0,11,3.610142411413527,0.1909209929112923,0.5851592923476465,0.3610142411413527,8.10821280740554,0.2952074275620581,0.7371102552186855,0.081081081081081,0.9864864864864864,0.0202702702702702,0.0,0.0,0,ESHOCK_04_LOC1,sw,1.0,139,0.4782608695652174,0.2916666666666667,0.6363636363636364,0.08333333333333333,0.09090909090909091,0.3,0.2727272727272727,1.2406705316766884,0.8658566174572236
1,6,2.6594846213049226,0.2659484621304923,0.1148208884972972,0.5318969242609846,0.8524286693835587,0.096528140440022,0.1420714448972597,0.3243243243243243,0.7905405405405405,0.0,0.0,0.0,1,ESHOCK_04_LOC1,sw,1.0,140,0.2608695652173913,0.041666666666666664,0.16666666666666666,0.4166666666666667,0.8333333333333334,,,0.6500224216483541,0.9182958340544894
0,8,3.576210879792208,0.2554436342708719,0.0793438330462389,0.510887268541744,0.8976457942529369,0.0590459743629245,0.1122057242816171,0.1578947368421052,1.0,0.0,0.0,0.0,0,ESHOCK_06_LOC1,sw,1.0,142,0.36363636363636365,0.3,0.375,0.17857142857142858,0.625,,,0.954434002924965,1.4056390622295665
1,9,6.240249270521826,0.4254715411719427,0.3921446009771946,0.7800311588152282,5.71585471495371,0.2230213444514807,0.63509496832819,0.0,0.5921052631578947,0.0,0.0,0.0,1,ESHOCK_06_LOC1,sw,1.0,143,0.4090909090909091,0.1,0.1111111111111111,0.25,0.7777777777777778,0.16666666666666666,0.1111111111111111,0.9864267287308426,1.5304930567574826
0,13,10.45130838169028,0.4354711825704283,0.669186237315975,0.8709423651408568,24.71783138042224,0.4024029130323835,1.9013716446478648,0.0,0.5434782608695652,0.0,0.108695652173913,0.0,0,ESHOCK_08_LOC1,sw,1.0,146,0.43333333333333335,0.7,0.5384615384615384,0.2,0.15384615384615385,0.4,0.3076923076923077,1.419556298571613,1.1401156785146092
1,4,2.7634426430394554,0.4605737738399093,0.5067976477560237,0.9211475476798184,4.947537461255886,0.4723446418576889,1.2368843653139714,1.0,0.5434782608695652,0.0,0.1358695652173913,0.0,1,ESHOCK_08_LOC1,sw,1.0,147,0.13333333333333333,0.1,0.25,0.2,0.5,0.1,0.25,1.5,1.5
