ensemble_orig,size,average_degree,average_weight,normalized_cut_size,internal_density,cut_size,conductance,edge_expantion,average_degree_p,average_weight_p,normalized_cut_size_p,conductance_p,edge_expantion_p,ensemble,session_name,block,bin_width,ensemble_id,prop_total,prop_total_SR,comp_SR,prop_total_SIR,comp_SIR,neuron_type_entropy,prop_total_FF,comp_FF,slow_response_entropy,fast_response_entropy
0,2,0.3884103050084138,0.1942051525042069,0.2773552983854503,0.3884103050084138,0.1464694259338254,0.2738361868298995,0.0732347129669127,1.0,1.0,0.0,0.0,0.0,-1,hamilton_04,pre,1.0,-1,0.5,0.47619047619047616,1.25,0.35294117647058826,0.75,0.954434002924965,,,1.2954733391260036,1.574673783584755
2,8,5.0962160912326695,0.4076972872986136,0.5339607423711588,0.7280308701760957,5.352441252130975,0.3259964227268072,0.6690551565163719,0.0,1.0,0.0,0.0,0.0,2,hamilton_04,pre,1.0,84,0.5,0.14285714285714285,0.375,0.23529411764705882,0.5,1.4056390622295665,0.5,0.125,0.5435644431995964,0.8112781244591328
0,6,2.380050380007834,0.2550053978579822,0.3462509934614399,0.4760100760015667,1.7220055821241202,0.1943099897816765,0.28700093035402,0.0,0.5588235294117647,0.0294117647058823,0.0,0.0294117647058823,0,hamilton_09,pre,1.0,85,0.4,0.16666666666666666,0.5,,,1.0,0.14285714285714285,0.5,0.0,0.6500224216483541
2,7,2.400625834328383,0.2333941783374816,0.2876524984837618,0.4001043057213971,1.4514756473913804,0.1473031090603662,0.2073536639130543,0.0,0.5588235294117647,0.0,0.0,0.0294117647058823,2,hamilton_09,pre,1.0,87,0.4666666666666667,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.2857142857142857,1.556656707462823,0.09523809523809523,0.2857142857142857,0.9852281360342515,0.9852281360342515
2,34,9.254545141432173,0.1515676949945538,0.8149261365497755,0.280440761861581,27.85715321742638,0.6644968881070961,1.5476196231903545,0.0,1.0,0.303030303030303,0.9318181818181818,0.0,2,hamilton_31,pre,1.0,89,0.6538461538461539,0.10810810810810811,0.11764705882352941,0.22556390977443608,0.8823529411764706,0.5225593745369408,,,1.1331842537834438,0.9899927915575186
0,8,2.2744809975279945,0.1684800738909626,0.6412010416709071,0.3249258567897135,10.87972027724569,0.5445947545988958,1.3599650346557113,1.0,1.0,0.0,0.3191489361702128,0.0,0,hamilton_38,pre,1.0,90,0.24242424242424243,0.16666666666666666,0.25,0.10869565217391304,0.625,1.2987949406953987,0.125,0.125,0.5435644431995964,1.061278124459133
1,23,8.788423268486309,0.2296974263354376,0.5677917918097035,0.3994737849311958,10.173112895572482,0.4763398439454006,1.0173112895572485,0.0,1.0,0.0,0.2553191489361702,0.0,1,hamilton_38,pre,1.0,91,0.696969696969697,0.3333333333333333,0.17391304347826086,0.34782608695652173,0.6956521739130435,1.1863929342238186,0.375,0.13043478260869565,1.1625633078480364,1.5379841082136028
0,8,2.2744809975279945,0.1684800738909626,0.6412010416709071,0.3249258567897135,10.87972027724569,0.5445947545988958,1.3599650346557113,1.0,1.0,0.0,0.3191489361702128,0.0,0,hamilton_37,pre,1.0,93,0.0,,,,,0.0,,,0.5435644431995964,1.061278124459133
1,23,8.788423268486309,0.2296974263354376,0.5677917918097035,0.3994737849311958,10.173112895572482,0.4763398439454006,1.0173112895572485,0.0,1.0,0.0,0.2553191489361702,0.0,1,hamilton_37,pre,1.0,94,0.0,,,,,0.0,,,1.1625633078480364,1.5379841082136028
0,38,33.81639908205896,0.4582821558909557,0.8522083998436207,0.9139567319475392,27.881618916822983,0.8106184510561949,2.144739916678691,0.0,0.6153846153846154,0.1025641025641025,1.0,0.0,0,hamilton_35,pre,1.0,96,0.7450980392156863,0.2558139534883721,0.5789473684210527,0.140625,0.23684210526315788,1.3982352745645177,0.16666666666666666,0.18421052631578946,0.9548942810595401,1.5294283316328894
3,3,0.4257682282467326,0.1064420570616831,0.9748545165627418,0.2128841141233663,13.60291766163249,0.9551557628695004,4.53430588721083,1.0,1.0,1.0,1.0,0.0,3,hamilton_35,pre,1.0,98,0.058823529411764705,0.011627906976744186,0.3333333333333333,0.03125,0.6666666666666666,0.9182958340544894,,,0.0,0.9182958340544894
4,4,0.6318208854493775,0.1053034809082296,0.9484512175991646,0.2106069618164592,15.719892242792596,0.9255960644068506,3.9299730606981487,1.0,1.0,1.0,1.0,0.0,4,hamilton_35,pre,1.0,99,0.0784313725490196,0.011627906976744186,0.25,0.046875,0.75,0.8112781244591328,,,0.8112781244591328,1.5
1,12,6.394650721800466,0.2997492525843968,0.7219103942734074,0.5813318838000423,10.097806875272996,0.5135608905936367,0.8414839062727496,0.0,1.0,0.3174603174603174,0.9523809523809524,0.0,1,hamilton_36,pre,1.0,101,0.5,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.4166666666666667,1.4833557549816876,0.2222222222222222,0.16666666666666666,1.0408520829727552,1.2806721295208872
1,12,8.744323538943362,0.4098901658879701,0.5111858532087455,0.7949385035403057,10.229433417587794,0.3480249585735274,0.8524527847989828,0.0,1.0,0.0,0.0,0.0,1,hamilton_32,pre,1.0,103,0.3870967741935484,0.17857142857142858,0.8333333333333334,0.07407407407407407,0.16666666666666666,0.6500224216483541,,,0.8112781244591328,1.5545851693377997
2,6,1.854086456354971,0.185408645635497,0.3831780390822815,0.3708172912709942,2.9648482994236325,0.3476968292988801,0.4941413832372721,1.0,1.0,0.0,0.0,0.0,2,hamilton_32,pre,1.0,104,0.1935483870967742,0.03571428571428571,0.3333333333333333,0.1111111111111111,0.5,1.4591479170272446,0.14285714285714285,0.16666666666666666,1.2516291673878228,1.2516291673878228
3,4,1.8843887600645235,0.3140647933440871,0.5048896863753807,0.6281295866881744,3.291261621233662,0.4661817810543175,0.8228154053084155,1.0,1.0,0.0,0.1234567901234567,0.0,3,hamilton_32,pre,1.0,105,0.12903225806451613,0.017857142857142856,0.25,0.1111111111111111,0.75,0.8112781244591328,,,1.0,0.8112781244591328
0,7,5.061450578690416,0.4920854729282349,0.2879477573472372,0.8435750964484027,2.614212588224568,0.1593543515810847,0.3734589411749383,0.0,0.8181818181818181,0.0,0.0,0.0,0,hamilton_04,base_shock,1.0,106,0.4375,0.19047619047619047,0.5714285714285714,0.17647058823529413,0.42857142857142855,0.9852281360342515,,,0.8631205685666311,1.1488348542809168
1,3,0.4663096734682142,0.1165774183670535,0.4445857806075475,0.2331548367341071,0.5271086320497035,0.429740888571811,0.1757028773499011,1.0,1.0,0.0303030303030303,0.4848484848484848,0.0,1,hamilton_04,base_shock,1.0,107,0.1875,0.047619047619047616,0.3333333333333333,0.058823529411764705,0.3333333333333333,1.584962500721156,0.5,0.3333333333333333,1.584962500721156,0.0
2,6,4.335143791635706,0.4335143791635706,0.2439739232759265,0.8670287583271412,2.173023411396482,0.143164995514387,0.3621705685660803,0.0909090909090909,0.8181818181818181,0.0,0.0,0.0,2,hamilton_04,base_shock,1.0,108,0.375,0.14285714285714285,0.5,0.17647058823529413,0.5,1.0,,,0.0,0.0
1,14,3.453091817997314,0.1405328065464023,0.4463931004428368,0.2656224475382549,9.97343745051741,0.29209002875272,0.7123883893226722,0.0,0.5882352941176471,0.0,0.0,0.0,1,hamilton_31,base_shock,1.0,111,0.2692307692307692,0.13513513513513514,0.35714285714285715,0.05263157894736842,0.5,1.4315602842833153,0.25,0.14285714285714285,0.946372935985442,0.8631205685666311
0,11,7.091817687792354,0.3679716724797919,0.2958959448629085,0.7091817687792354,10.295426586372198,0.2088303868072395,0.9359478714883817,0.0375,0.775,0.0,0.0,0.0,0,hamilton_38,base_shock,1.0,112,0.3333333333333333,0.16666666666666666,0.18181818181818182,0.17391304347826086,0.7272727272727273,1.0957952550009338,0.125,0.09090909090909091,0.0,0.43949698692151334
1,17,10.182670946993184,0.3407586734230003,0.4196876331048578,0.636416934187074,16.635578274789,0.2584718626578451,1.0397236421743126,0.0,0.775,0.0,0.0,0.0,1,hamilton_38,base_shock,1.0,113,0.5151515151515151,0.3333333333333333,0.23529411764705882,0.21739130434782608,0.5882352941176471,1.3830999911893338,0.375,0.17647058823529413,1.2210477851797181,1.4836591643979626
2,5,3.157489490597672,0.394686186324709,0.5228789600537268,0.789372372649418,7.167126021166514,0.4758779312754075,1.4334252042333029,0.75,0.775,0.0,0.125,0.0,2,hamilton_38,base_shock,1.0,114,0.15151515151515152,,,0.10869565217391304,1.0,0.0,,,0.0,0.9709505944546688
0,17,6.653654279418527,0.214227505208551,0.2657090426255998,0.4158533924636579,8.085969830759778,0.1406206182687843,0.4756452841623398,0.0,1.0,0.0,0.0,0.0,0,hamilton_37,base_shock,1.0,115,0.4594594594594595,0.3181818181818182,0.4117647058823529,0.7142857142857143,0.5882352941176471,0.9774178175281716,,,1.0863128407412879,1.5485652260309177
1,20,4.941605178106486,0.1573759610861937,0.2657090426255998,0.2600844830582361,8.085969830759778,0.1406206182687843,0.4756452841623398,0.0,1.0,0.0,0.0,0.0,1,hamilton_37,base_shock,1.0,116,0.5405405405405406,0.6818181818181818,0.75,0.2857142857142857,0.2,0.9917601481809734,1.0,0.05,0.747584679824574,1.370950594454669
3,4,2.21352713698678,0.3689211894977967,0.5136644132793121,0.7378423789955934,4.310174253171806,0.4933113789779778,1.0775435632929515,1.0,0.3829787234042553,0.0,0.1276595744680851,0.0,3,hamilton_35,base_shock,1.0,118,0.0784313725490196,0.023255813953488372,0.5,,,1.0,0.047619047619047616,0.5,0.0,1.0
4,4,1.1612573835312097,0.2322514767062418,0.7519294721895647,0.3870857945104032,6.071306633091461,0.7233066256306285,1.5178266582728652,1.0,0.7659574468085106,0.1531914893617021,0.9787234042553192,0.0,4,hamilton_35,base_shock,1.0,119,0.0784313725490196,0.03488372093023256,0.75,0.015625,0.25,0.8112781244591328,,,0.8112781244591328,1.5
5,4,0.8986488607100415,0.1497748101183402,0.7154723513444773,0.2995496202366804,4.120164564738275,0.6962722135763885,1.030041141184569,1.0,1.0,0.0,0.9787234042553192,0.0,5,hamilton_35,base_shock,1.0,120,0.0784313725490196,0.03488372093023256,0.75,0.015625,0.25,0.8112781244591328,,,0.0,0.0
0,5,0.7660552306083026,0.1063965598067087,0.7061702172561795,0.1915138076520756,3.0932137992082707,0.6176111175810737,0.6186427598416542,0.9285714285714286,1.0,0.119047619047619,0.6428571428571429,0.0238095238095238,0,hamilton_36,base_shock,1.0,121,0.20833333333333334,0.06666666666666667,0.8,0.06666666666666667,0.2,0.7219280948873623,,,0.7219280948873623,0.9709505944546688
1,14,3.8797185735592272,0.1578955233425267,0.5420598728834902,0.2984398902737867,3.7789965375679007,0.4199086205271237,0.3778996537567901,0.0,1.0,0.0,0.0357142857142857,0.0,1,hamilton_36,base_shock,1.0,122,0.5833333333333334,0.11666666666666667,0.5,0.26666666666666666,0.2857142857142857,1.492614068017126,0.3333333333333333,0.21428571428571427,0.3712323266408757,0.9852281360342515
2,5,0.9209349713780686,0.1151168714222585,0.4701336260302285,0.2302337428445171,1.6888795373133003,0.4231490174056106,0.33777590746266,0.9285714285714286,1.0,0.0,0.0357142857142857,0.0,2,hamilton_36,base_shock,1.0,123,0.20833333333333334,0.06666666666666667,0.8,0.06666666666666667,0.2,0.7219280948873623,,,1.5219280948873626,0.0
0,9,1.7059268475319629,0.1323563933429971,0.4470503131529814,0.2132408559414953,3.4292596879033743,0.3087773408404129,0.381028854211486,0.074074074074074,0.9629629629629628,0.0,0.0,0.037037037037037,0,hamilton_32,base_shock,1.0,124,0.2903225806451613,0.10714285714285714,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.9182958340544894,,,0.7642045065086203,1.5304930567574826
3,3,1.190092057904797,0.2975230144761993,0.5042727071591482,0.5950460289523987,1.5085706321418095,0.4580157994664084,0.5028568773806031,0.3703703703703703,0.4444444444444444,0.0,0.1481481481481481,0.0493827160493827,3,hamilton_32,base_shock,1.0,126,0.0967741935483871,0.017857142857142856,0.3333333333333333,0.07407407407407407,0.6666666666666666,0.9182958340544894,,,0.9182958340544894,0.0
