neuron_id,Fast Time Scale,neuron_type,Slow Time Scale,cluster
1031,1.08,FF,-0.33,2
1032,2.52,SR,0.87,2
1034,3.09,SR,-0.39,2
1035,-0.22,SR,-0.55,1
1036,0.13,SIR,-0.64,1
1037,-0.22,SIR,-0.42,1
1038,-0.27,SR,-0.5,1
1040,1.58,SIR,-0.05,2
1041,1.58,SIR,-0.08,2
1044,-1.65,SIR,-0.56,0
1045,-0.04,SIR,-0.63,1
1046,1.48,SR,-0.09,2
1047,-0.26,SR,-0.72,1
1048,-0.16,SIR,-0.37,1
1049,1.16,SR,-0.46,2
1050,1.47,SR,-0.64,2
1051,-0.11,FF,0.02,1
1052,-0.3,SR,0.73,0
1053,2.88,FF,1.05,2
1054,-1.12,FF,0.72,0
1055,-1.64,FF,0.66,0
1056,-0.08,SIR,-0.14,1
1057,-0.72,FF,0.49,0
1058,-0.68,SR,-1.07,1
1059,-1.59,SR,0.68,0
1060,-0.54,SR,0.61,0
1061,-0.21,SR,0.88,0
1062,-0.16,SIR,-0.17,1
1064,-0.11,FF,0.01,1
1065,-0.03,SR,-0.62,1
1068,-1.26,FF,0.48,0
1613,-0.65,SIR,0.18,0
1614,0.64,SIR,0.58,2
1615,1.01,SIR,0.39,2
1616,1.4,SIR,0.58,2
1617,0.57,SIR,0.18,2
1619,1.61,SIR,0.92,2
1620,-0.37,SR,-1.18,1
1621,1.1,SIR,-0.05,2
1622,1.26,SIR,0.92,2
1623,1.61,SIR,0.62,2
1625,1.47,SIR,0.74,2
1626,0.48,SIR,1.05,2
1632,1.3,SIR,0.27,2
1636,1.06,SIR,0.5,2
1638,0.72,SIR,1.32,2
1639,0.18,SIR,-0.49,1
1640,1.08,FF,-0.58,1
1641,1.52,SIR,1.0,2
1642,0.68,SIR,-0.17,1
1644,1.1,SIR,0.63,2
1645,1.03,SIR,0.17,2
1647,1.06,SR,1.19,2
1648,1.95,SIR,-0.19,2
1649,1.4,SIR,-0.51,2
1650,1.91,SIR,0.45,2
1651,-0.2,SR,-0.73,1
1655,-0.33,SIR,1.04,0
1657,0.69,SR,-0.34,1
1658,-0.2,SR,-0.22,1
1659,0.66,SIR,0.95,2
1660,-0.28,FF,-1.71,1
1661,0.34,SR,-0.44,1
1663,-0.4,SIR,1.57,0
1664,0.95,SIR,0.33,2
1666,1.73,SR,-0.78,2
1667,0.89,SIR,0.59,2
1668,-0.31,SR,-1.1,1
1669,1.91,SIR,0.0,2
1670,0.04,SIR,-0.87,1
1671,0.67,SIR,0.17,2
1675,0.02,SIR,-0.6,1
1676,0.12,SIR,-0.67,1
1678,0.52,SIR,0.2,2
1679,0.29,SIR,-0.11,1
1680,0.87,SR,-0.08,2
1681,0.63,SIR,-0.57,1
1682,-0.01,SR,-0.64,1
1683,0.28,SIR,0.34,1
1684,1.47,SIR,0.95,2
1685,2.13,SIR,0.4,2
1686,1.34,SIR,0.1,2
1687,0.15,SIR,-0.55,1
1690,0.45,FF,-1.63,1
1691,0.05,SIR,-1.47,1
1693,0.49,FF,-1.36,1
1695,2.2,SIR,0.5,2
1697,-0.08,SR,-0.5,1
1698,-0.19,SIR,-1.51,1
1700,-1.38,SIR,1.86,0
1706,-1.19,SIR,0.27,0
1708,2.23,SR,1.69,2
1709,0.19,SIR,1.23,0
1712,-1.16,SIR,-1.06,1
1713,0.54,SIR,-1.25,1
1715,1.18,SR,0.64,2
1720,-0.76,SIR,1.42,0
1721,1.06,SIR,-0.4,2
1725,-0.71,SIR,1.0,0
1726,-0.15,SIR,-1.66,1
1727,-0.73,FF,-0.8,1
1728,0.94,SIR,0.62,2
1732,0.96,SIR,2.08,2
1733,-0.05,SIR,-1.25,1
1735,0.26,SIR,1.78,0
1736,2.19,SIR,1.78,2
1737,-0.42,SIR,-1.49,1
1739,0.19,SR,-1.42,1
1741,1.42,SR,0.99,2
1743,0.35,FF,1.61,0
1748,-0.63,SIR,-0.72,1
1749,1.86,SIR,0.07,2
1751,-0.86,SIR,0.89,0
1752,-0.02,SIR,-1.34,1
1754,0.23,SIR,-1.43,1
1755,0.39,SR,-1.54,1
1760,1.38,SR,1.07,2
1767,-0.74,SR,-1.08,1
1769,1.54,SR,0.28,2
1772,-1.06,SIR,0.15,0
1774,-2.35,SR,-0.07,0
1775,-1.35,SR,0.75,0
1792,-0.03,SR,0.78,0
1795,0.19,SR,-0.65,1
1800,1.27,SIR,1.25,2
1810,0.25,SIR,-0.04,1
1811,-1.56,SR,-0.19,0
1812,-0.61,SR,0.62,0
1813,-2.31,SR,0.45,0
1814,-1.61,SR,0.61,0
1815,-0.97,SR,0.75,0
1816,-1.06,SR,0.63,0
1817,-1.55,SR,0.47,0
1818,0.25,SIR,0.04,1
1819,1.94,SIR,0.89,2
1820,-1.55,SR,1.11,0
1821,1.25,SIR,-0.81,1
1822,-1.99,SR,0.58,0
1823,0.04,SR,1.05,0
1824,-1.52,SR,0.97,0
1825,0.04,SR,0.61,0
1826,-0.14,SR,1.44,0
1827,0.96,SIR,0.29,2
1828,-0.72,SIR,0.28,0
1829,1.18,SIR,0.31,2
1830,-1.36,SIR,0.77,0
1831,-0.34,SR,0.8,0
1832,-1.14,SR,0.84,0
1833,2.04,SIR,0.51,2
1834,-0.42,SIR,-0.35,1
1835,1.88,FF,1.44,2
1836,1.27,SIR,0.57,2
1837,0.7,SIR,0.18,2
1839,0.57,FF,0.53,2
1841,-0.67,SR,0.61,0
1842,1.11,SIR,1.83,2
1843,-2.16,FF,-0.63,0
1844,1.56,FF,1.76,2
1846,-1.77,SR,0.65,0
1847,2.37,SR,0.76,2
1848,-0.39,SR,2.04,0
1850,-1.09,SR,1.44,0
1854,-0.8,SR,1.12,0
1856,-1.46,SR,1.35,0
1857,0.4,SIR,0.42,2
1858,-0.56,FF,0.64,0
1860,1.7,SR,0.72,2
1861,-0.1,SR,-0.96,1
1864,2.62,SIR,1.74,2
1865,-1.76,SR,1.38,0
1866,0.84,SR,1.86,2
1867,-1.56,SR,0.79,0
1868,-1.22,SIR,0.64,0
1869,-1.58,SR,0.98,0
1871,0.79,SR,0.18,2
1872,-2.08,SR,0.68,0
1873,-0.59,SIR,-0.44,1
1874,-0.76,SIR,1.29,0
1875,-1.14,SR,1.08,0
1878,-2.19,FF,-0.38,0
1879,1.65,SIR,1.66,2
1881,1.18,SR,0.87,2
1882,0.35,SR,0.61,2
1883,0.73,FF,1.24,2
1884,-0.16,SR,-0.59,1
1885,2.37,FF,0.5,2
1887,1.49,SIR,1.14,2
1888,0.91,SIR,1.09,2
1889,2.0,SIR,1.4,2
1890,-1.79,FF,-1.09,1
1893,-0.12,SR,-0.51,1
1894,0.23,SIR,1.71,0
1895,0.77,SIR,1.84,2
1896,-0.6,FF,-1.48,1
1897,1.2,FF,0.08,2
1899,-1.19,SIR,1.62,0
1900,0.47,SIR,1.16,2
1902,0.11,SR,-0.78,1
1903,0.33,SR,-1.9,1
1904,-2.05,SIR,0.94,0
1906,-0.08,SR,-1.78,1
1908,2.3,SR,-0.15,2
1909,0.28,SIR,1.26,0
1910,-0.75,SR,1.19,0
1911,0.93,SR,-0.8,1
1914,-0.18,SR,-0.83,1
1917,0.66,SR,0.33,2
1919,0.01,SR,-0.65,1
1921,-0.78,SIR,1.28,0
1924,-1.78,SR,-0.95,1
1928,-1.67,SR,0.02,0
1929,-1.22,SR,0.13,0
1930,-0.58,SR,0.43,0
1931,-0.56,SR,0.25,0
1934,-0.33,SR,0.31,0
1938,-0.08,SR,-1.45,1
1940,0.39,FF,-0.23,1
1942,0.41,SIR,-0.33,1
1945,1.32,SR,-1.17,1
1946,1.45,FF,-0.67,2
1947,-0.08,SR,-0.34,1
1949,0.41,SIR,-1.23,1
1950,1.4,SIR,-1.21,1
1951,2.13,SR,-0.61,2
1952,2.21,SIR,-0.6,2
1956,3.02,SIR,0.04,2
1959,0.47,FF,-1.46,1
1960,-1.69,SR,0.42,0
1961,2.15,SR,-0.05,2
1962,-0.71,SR,-1.06,1
1963,-0.09,SIR,-0.64,1
1966,-1.49,SR,-0.01,0
1968,2.56,SR,0.21,2
1969,1.78,SR,0.07,2
1970,1.26,SIR,-0.38,2
1973,0.93,SIR,-0.45,1
1974,2.82,FF,-0.72,2
1975,1.06,SR,0.17,2
1978,-0.11,SR,1.09,0
1980,-0.64,SR,0.5,0
1982,0.19,SR,1.36,0
1983,2.23,SIR,1.05,2
1984,-0.02,SR,0.87,0
1985,0.25,SR,0.03,1
1987,-0.82,SIR,-0.08,0
1988,1.13,SIR,1.41,2
1989,0.05,SIR,0.13,1
1990,2.43,SR,1.46,2
1991,1.09,SIR,-0.16,2
1992,-0.99,SR,0.6,0
1993,2.4,SR,0.37,2
1995,-0.76,SR,0.41,0
1997,-0.92,SR,1.18,0
1998,0.53,SR,-1.44,1
1999,0.13,SR,0.44,0
2000,3.05,SIR,0.32,2
2001,1.51,SIR,-0.58,2
2002,0.24,FF,0.8,0
2003,-1.87,SR,1.08,0
