a,b,weight,_distance,comb_id,a_nt,b_nt,nt_comb,distance,source_ensemble,ensemble,sig,ensemble_orig,session_name,state,bin_width,target_ensemble,in_ensemble,same_ensemble,session
1,5,0.1578617952263022,0.8421382047736978,"[1.0, 5.0]",SIR,FF,SIR-FF,254.95097567963924,,,,,,sw,0.05,,,False,ESHOCK_03_LOC1
4,5,0.10887416888707341,0.8911258311129266,"[4.0, 5.0]",SIR,FF,SIR-FF,78.30229881682912,,,,,,sw,0.05,,,False,ESHOCK_03_LOC1
1,6,0.006408780861813321,0.9935912191381867,"[1.0, 6.0]",SIR,SIR,SIR-SIR,269.2582403567252,,,,,,sw,0.05,,,False,ESHOCK_03_LOC1
9,12,0.018129589987545113,0.9818704100124549,"[9.0, 12.0]",SIR,SIR,SIR-SIR,50.0,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
9,18,0.029726431408926487,0.9702735685910735,"[9.0, 18.0]",SIR,SIR,SIR-SIR,100.0,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
12,18,0.009160053695525326,0.9908399463044747,"[12.0, 18.0]",SIR,SIR,SIR-SIR,50.0,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
17,18,0.021848359436871148,0.9781516405631289,"[17.0, 18.0]",SIR,SIR,SIR-SIR,176.4404998859389,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
9,22,0.015401579047304902,0.9845984209526951,"[9.0, 22.0]",SIR,SR,SR-SIR,127.00885795880538,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
12,22,0.0025425463393751206,0.9974574536606249,"[12.0, 22.0]",SIR,SR,SR-SIR,176.4404998859389,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
9,27,0.0002503339866532272,0.9997496660133468,"[9.0, 27.0]",SIR,SIR,SIR-SIR,33.63406011768428,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
12,27,0.027211365931998126,0.9727886340680019,"[12.0, 27.0]",SIR,SIR,SIR-SIR,33.63406011768428,,,,,,sw,0.05,,,False,ESHOCK_04_LOC1
