neuron_id,response_bs,phase_lock_delta,phase_lock_theta
1,activated,True,False
4,inhibited,False,False
5,inhibited,True,False
6,inhibited,False,False
8,inhibited,True,True
9,inhibited,True,True
12,inhibited,True,False
17,inhibited,True,True
18,inhibited,True,True
22,activated,True,True
27,no_response,True,True
31,inhibited,True,False
32,inhibited,True,True
33,no_response,True,True
34,inhibited,True,True
35,inhibited,False,False
36,activated,True,True
37,inhibited,True,True
38,activated,True,True
39,inhibited,True,True
40,inhibited,True,False
41,activated,True,True
42,inhibited,True,True
43,inhibited,True,True
44,inhibited,True,True
45,inhibited,True,True
46,inhibited,True,True
47,activated,False,True
48,inhibited,True,True
49,activated,True,True
50,inhibited,True,True
51,no_response,True,True
52,no_response,True,True
54,inhibited,True,True
55,inhibited,True,True
57,activated,True,True
58,activated,True,True
59,activated,True,False
60,no_response,True,True
62,activated,True,True
63,no_response,False,False
64,no_response,True,True
69,activated,True,True
70,activated,True,True
71,no_response,False,False
73,inhibited,True,True
74,inhibited,True,True
75,activated,True,True
76,no_response,True,True
77,activated,True,True
81,inhibited,True,True
82,activated,False,False
84,activated,True,False
85,activated,True,True
86,activated,True,True
88,activated,True,True
89,no_response,True,True
90,activated,True,True
91,activated,True,True
92,activated,True,True
93,activated,True,True
94,activated,True,True
95,activated,True,True
97,activated,False,True
98,inhibited,True,True
99,inhibited,True,True
100,no_response,True,False
101,activated,True,False
102,activated,True,True
103,no_response,False,False
104,activated,True,True
105,activated,True,True
106,activated,False,True
107,inhibited,True,False
108,inhibited,True,True
109,inhibited,True,False
110,inhibited,True,False
111,activated,True,True
113,activated,True,True
114,no_response,True,True
115,activated,True,True
116,inhibited,True,False
117,no_response,True,False
118,no_response,True,True
120,no_response,True,False
121,activated,True,True
122,no_response,True,True
123,activated,False,True
124,no_response,True,True
125,inhibited,True,False
126,inhibited,True,True
127,no_response,True,False
128,no_response,True,True
132,activated,True,True
135,inhibited,True,True
136,no_response,True,False
137,activated,False,False
138,activated,True,True
139,no_response,True,False
140,activated,True,True
142,no_response,True,True
144,inhibited,True,True
145,inhibited,True,False
146,inhibited,True,True
147,activated,True,True
151,inhibited,True,True
152,activated,True,True
153,activated,True,True
154,activated,True,True
155,inhibited,True,True
156,inhibited,True,True
157,activated,True,True
158,activated,True,True
159,activated,True,True
161,activated,True,True
162,activated,True,True
163,activated,True,False
164,activated,True,False
166,activated,False,True
167,activated,True,True
176,inhibited,True,True
177,activated,True,False
178,activated,True,False
179,activated,True,True
180,inhibited,True,True
181,activated,True,False
182,activated,True,True
184,activated,True,False
185,activated,False,True
1011,activated,True,True
1013,activated,False,True
1014,no_response,True,True
1015,activated,False,True
1016,inhibited,False,True
1018,inhibited,True,True
1019,activated,True,True
1020,no_response,False,False
1021,no_response,True,True
1022,no_response,True,True
1024,inhibited,True,True
1025,activated,False,True
1026,inhibited,True,True
1027,inhibited,True,True
1028,activated,True,True
1029,activated,True,True
1030,inhibited,True,True
1031,inhibited,True,True
1032,inhibited,True,False
1034,activated,True,True
1035,activated,False,True
1036,activated,False,True
