neuron_id,response_fs_slow,response_fs_fast
1031,inhibited,activated
1032,activated,activated
1034,inhibited,activated
1035,inhibited,no_response
1036,inhibited,no_response
1037,inhibited,no_response
1038,inhibited,no_response
1040,no_response,activated
1041,no_response,activated
1044,inhibited,inhibited
1045,inhibited,no_response
1046,no_response,activated
1047,inhibited,no_response
1048,inhibited,no_response
1049,inhibited,activated
1050,inhibited,activated
1051,no_response,no_response
1052,activated,inhibited
1053,activated,activated
1054,activated,inhibited
1055,activated,inhibited
1056,inhibited,no_response
1057,activated,inhibited
1058,inhibited,inhibited
1059,activated,inhibited
1060,activated,inhibited
1061,activated,inhibited
1062,inhibited,no_response
1064,no_response,no_response
1065,inhibited,no_response
1068,activated,inhibited
1613,activated,inhibited
1614,activated,no_response
1615,activated,activated
1616,activated,activated
1617,activated,no_response
1619,activated,activated
1620,inhibited,no_response
1621,no_response,activated
1622,activated,activated
1623,activated,activated
1625,activated,activated
1626,activated,no_response
1632,activated,activated
1636,activated,activated
1638,activated,activated
1639,inhibited,no_response
1640,inhibited,activated
1641,activated,activated
1642,inhibited,no_response
1644,activated,activated
1645,activated,activated
1647,activated,activated
1648,inhibited,activated
1649,inhibited,activated
1650,activated,activated
1651,inhibited,no_response
1655,activated,no_response
1657,inhibited,no_response
1658,inhibited,no_response
1659,activated,activated
1660,inhibited,no_response
1661,inhibited,no_response
1663,activated,no_response
1664,activated,activated
1666,inhibited,activated
1667,activated,activated
1668,inhibited,no_response
1669,no_response,activated
1670,inhibited,no_response
1671,activated,no_response
1675,inhibited,no_response
1676,inhibited,no_response
1678,activated,no_response
1679,no_response,no_response
1680,no_response,activated
1681,inhibited,no_response
1682,inhibited,no_response
1683,activated,no_response
1684,activated,activated
1685,activated,activated
1686,no_response,activated
1687,inhibited,no_response
1690,inhibited,no_response
1691,inhibited,no_response
1693,inhibited,no_response
1695,activated,activated
1697,inhibited,no_response
1698,inhibited,no_response
1700,activated,inhibited
1706,activated,inhibited
1708,activated,activated
1709,activated,no_response
1712,inhibited,inhibited
1713,inhibited,activated
1715,activated,activated
1720,activated,inhibited
1721,inhibited,activated
1725,activated,inhibited
1726,inhibited,no_response
1727,inhibited,inhibited
1728,activated,activated
1732,activated,activated
1733,inhibited,no_response
1735,activated,no_response
1736,activated,activated
1737,inhibited,no_response
1739,inhibited,no_response
1741,activated,activated
1743,activated,no_response
1748,inhibited,inhibited
1749,no_response,activated
1751,activated,inhibited
1752,inhibited,no_response
1754,inhibited,no_response
1755,inhibited,no_response
1760,activated,activated
1767,inhibited,inhibited
1769,activated,activated
1772,activated,inhibited
1774,no_response,inhibited
1775,activated,inhibited
1792,activated,no_response
1795,inhibited,no_response
1800,activated,activated
1810,no_response,no_response
1811,inhibited,inhibited
1812,activated,no_response
1813,activated,inhibited
1814,activated,inhibited
1815,activated,inhibited
1816,activated,inhibited
1817,activated,inhibited
1818,no_response,no_response
1819,activated,activated
1820,activated,inhibited
1821,inhibited,activated
1822,activated,inhibited
1823,activated,no_response
1824,activated,inhibited
1825,activated,no_response
1826,activated,no_response
1827,activated,activated
1828,activated,inhibited
1829,activated,activated
1830,activated,inhibited
1831,activated,inhibited
1832,activated,inhibited
1833,activated,activated
1834,inhibited,inhibited
1835,activated,activated
1836,activated,activated
1837,activated,activated
1839,activated,no_response
1841,activated,inhibited
1842,activated,activated
1843,inhibited,inhibited
1844,activated,activated
1846,activated,inhibited
1847,activated,activated
1848,activated,inhibited
1850,activated,inhibited
1854,activated,inhibited
1856,activated,inhibited
1857,activated,no_response
1858,activated,inhibited
1860,activated,activated
1861,inhibited,no_response
1864,activated,activated
1865,activated,inhibited
1866,activated,activated
1867,activated,inhibited
1868,activated,inhibited
1869,activated,inhibited
1871,activated,activated
1872,activated,inhibited
1873,inhibited,inhibited
1874,activated,inhibited
1875,activated,inhibited
1878,inhibited,inhibited
1879,activated,activated
1881,activated,activated
1882,activated,no_response
1883,activated,activated
1884,inhibited,no_response
1885,activated,activated
1887,activated,activated
1888,activated,activated
1889,activated,activated
1890,inhibited,inhibited
1893,inhibited,no_response
1894,activated,no_response
1895,activated,activated
1896,inhibited,inhibited
1897,no_response,activated
1899,activated,inhibited
1900,activated,no_response
1902,inhibited,no_response
1903,inhibited,no_response
1904,activated,inhibited
1906,inhibited,no_response
1908,inhibited,activated
1909,activated,no_response
1910,activated,inhibited
1911,inhibited,activated
1914,inhibited,no_response
1917,activated,no_response
1919,inhibited,no_response
1921,activated,inhibited
1924,inhibited,inhibited
1928,no_response,inhibited
1929,no_response,inhibited
1930,activated,no_response
1931,activated,inhibited
1934,activated,inhibited
1938,inhibited,no_response
1940,inhibited,no_response
1942,inhibited,no_response
1945,inhibited,activated
1946,inhibited,activated
1947,inhibited,no_response
1949,inhibited,activated
1950,inhibited,activated
1951,inhibited,activated
1952,inhibited,activated
1956,no_response,activated
1959,inhibited,no_response
1960,activated,inhibited
1961,no_response,activated
1962,inhibited,inhibited
1963,inhibited,no_response
1966,no_response,inhibited
1968,activated,activated
1969,no_response,activated
1970,inhibited,activated
1973,inhibited,activated
1974,inhibited,activated
1975,activated,activated
1978,activated,no_response
1980,activated,inhibited
1982,activated,no_response
1983,activated,activated
1984,activated,no_response
1985,no_response,no_response
1987,no_response,inhibited
1988,activated,activated
1989,activated,no_response
1990,activated,activated
1991,inhibited,activated
1992,activated,inhibited
1993,activated,activated
1995,activated,inhibited
1997,activated,inhibited
1998,inhibited,no_response
1999,activated,no_response
2000,activated,activated
2001,inhibited,activated
2002,activated,no_response
2003,activated,inhibited
