a,b,_distance,weight,comb_id,a_nt,b_nt,nt_comb,distance,source_ensemble,session_name,ensemble,target_ensemble,sig,ensemble_orig,shuffle,bin_width,in_ensemble,same_ensemble,session
1,5,0.3433149444225114,0.6566850555774886,"[1.0, 5.0]",SIR,FF,SIR-FF,254.95097567963924,-1,ESHOCK_03_LOC1,-1,-1,False,1,False,1.0,False,False,ESHOCK_03_LOC1
4,5,0.5582026672429893,0.4417973327570107,"[4.0, 5.0]",SIR,FF,SIR-FF,78.30229881682912,-1,ESHOCK_03_LOC1,-1,-1,False,1,False,1.0,False,False,ESHOCK_03_LOC1
4,6,0.45090112542369176,0.5490988745763082,"[4.0, 6.0]",SIR,SIR,SIR-SIR,226.12220147522004,-1,ESHOCK_03_LOC1,-1,-1,False,0,False,1.0,False,False,ESHOCK_03_LOC1
5,6,0.7306550601738061,0.2693449398261939,"[5.0, 6.0]",FF,SIR,SIR-FF,150.0,-1,ESHOCK_03_LOC1,-1,-1,False,0,False,1.0,False,False,ESHOCK_03_LOC1
4,8,0.32522768966198135,0.6747723103380187,"[4.0, 8.0]",SIR,SR,SR-SIR,275.9189192498405,-1,ESHOCK_03_LOC1,-1,-1,False,0,False,1.0,False,False,ESHOCK_03_LOC1
5,8,0.8847895721151733,0.11521042788482676,"[5.0, 8.0]",FF,SR,SR-FF,200.0,-1,ESHOCK_03_LOC1,-1,-1,False,0,False,1.0,False,False,ESHOCK_03_LOC1
6,8,0.3881518519462672,0.6118481480537328,"[6.0, 8.0]",SIR,SR,SR-SIR,50.0,-1,ESHOCK_03_LOC1,-1,-1,False,0,False,1.0,False,False,ESHOCK_03_LOC1
9,12,0.7860218962443712,0.21397810375562873,"[9.0, 12.0]",SIR,SIR,SIR-SIR,50.0,2,ESHOCK_04_LOC1,-1,-1,False,4,False,1.0,False,False,ESHOCK_04_LOC1
9,17,0.5097020452951221,0.4902979547048779,"[9.0, 17.0]",SIR,SIR,SIR-SIR,78.30229881682912,2,ESHOCK_04_LOC1,3,2,True,1,False,1.0,True,True,ESHOCK_04_LOC1
12,17,0.6212037845400133,0.3787962154599867,"[12.0, 17.0]",SIR,SIR,SIR-SIR,127.00885795880538,-1,ESHOCK_04_LOC1,3,2,True,1,False,1.0,True,False,ESHOCK_04_LOC1
9,18,0.5826296389151677,0.4173703610848322,"[9.0, 18.0]",SIR,SIR,SIR-SIR,100.0,2,ESHOCK_04_LOC1,3,2,True,1,False,1.0,True,True,ESHOCK_04_LOC1
