neuron_id,hdb,louvain
1,0,0
4,0,0
5,0,0
6,3,2
8,3,2
9,2,3
12,4,6
17,2,3
18,-1,5
22,2,3
27,2,3
31,3,2
32,4,6
33,3,2
34,4,6
35,4,6
36,2,3
37,2,3
38,2,3
39,2,3
40,4,5
41,2,3
42,4,6
43,2,7
44,2,3
45,2,3
46,1,1
47,1,1
48,2,4
49,1,1
50,2,7
51,2,3
52,2,1
54,2,1
55,2,1
57,3,2
58,3,2
59,2,4
60,4,6
62,4,5
63,3,2
64,0,0
69,3,2
70,3,2
71,2,4
74,4,5
75,1,1
76,4,6
77,4,6
88,2,7
90,3,2
91,3,2
92,3,2
94,4,6
95,3,2
97,0,0
98,2,3
100,3,2
101,1,1
102,2,7
103,2,7
104,2,7
105,4,6
107,2,1
108,4,6
109,2,3
110,2,1
111,0,0
113,0,0
120,0,0
123,3,2
125,2,3
126,2,3
129,4,5
131,4,6
135,2,4
144,4,6
145,3,2
151,3,2
152,0,0
153,3,2
154,2,7
155,2,3
156,1,1
157,4,6
164,2,3
176,2,3
181,2,4
182,4,5
1011,4,6
1013,1,1
1014,0,0
1015,2,4
1016,2,4
1018,2,4
1019,-1,5
1020,0,0
1021,2,3
1022,0,0
1024,4,6
1025,-1,7
1026,4,6
1027,2,7
1028,2,3
1029,2,3
1030,2,3
1031,4,6
1032,0,0
1034,4,6
1035,1,1
1037,4,6
1038,1,1
1040,4,6
1041,4,6
1044,2,4
1045,4,6
1046,2,7
1047,4,6
1048,4,6
1049,4,5
1050,2,1
1052,2,3
1053,4,6
1054,2,4
1055,2,4
1056,2,7
1057,2,4
1058,2,6
1059,1,1
1060,2,4
1061,2,3
1062,2,4
1064,2,7
1065,0,0
1068,2,7
1613,2,3
1614,4,6
1615,4,6
1616,2,4
1619,3,5
1620,2,3
1621,2,7
1622,0,0
1623,3,2
1625,0,0
1626,-1,6
1632,0,0
1636,0,0
1638,3,2
1639,3,2
1640,3,2
1641,-1,2
1642,3,2
1644,4,5
1645,-1,5
1647,1,1
1648,2,4
1649,0,0
1650,2,4
1651,4,6
1655,4,6
1657,3,2
1658,4,6
1659,3,2
1660,4,6
1661,2,4
1663,3,2
1664,3,2
1666,3,2
1667,0,0
1668,0,0
1669,4,5
1670,3,2
1671,3,2
1675,3,2
1676,3,2
1678,0,0
1679,3,2
1680,3,2
1681,3,2
1682,4,5
1683,4,6
1684,0,0
1685,3,2
1686,4,6
1687,3,2
1690,3,2
1691,0,0
1693,0,0
1695,0,0
1697,4,6
1698,4,5
1700,4,6
1706,0,0
1709,4,6
1712,4,5
1713,2,4
1720,4,6
1721,4,5
1725,4,6
1726,4,6
1727,0,0
1728,4,6
1733,4,6
1735,0,0
1736,2,7
1737,4,6
1741,0,0
1743,4,6
1748,4,6
1749,2,6
1751,4,6
1752,0,0
1754,2,1
1755,4,6
1760,2,4
1767,-1,1
1769,2,3
1774,2,7
1775,2,3
1792,3,2
1795,3,2
1800,3,2
1810,2,4
1811,2,7
1812,2,3
1813,2,3
1814,2,7
1815,2,4
1816,2,7
1817,2,3
1818,3,2
1819,0,0
1820,4,5
1821,3,2
1822,2,4
1823,2,3
1824,1,1
1825,2,7
1826,2,4
1827,3,2
1828,2,7
1829,2,7
1830,2,4
1831,2,4
1832,2,7
1833,0,0
1835,0,0
1836,2,7
1839,4,5
1841,2,7
1842,2,3
1843,2,6
1844,0,0
1846,-1,3
1847,4,6
1848,2,7
1850,2,6
1854,2,3
1856,2,3
1857,-1,4
1860,2,6
1861,0,0
1864,0,0
1865,2,3
1866,0,0
1867,2,3
1868,2,3
1869,2,1
1871,2,3
1872,1,1
1873,3,2
1874,2,4
1875,2,3
1878,2,4
1879,0,0
1881,3,2
1884,0,0
1885,3,2
1887,0,0
1888,0,0
1889,4,6
1890,4,6
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1899,0,0
1900,0,0
1902,2,6
1903,2,4
1904,0,0
1906,2,4
1908,3,2
1909,0,0
1910,2,7
1911,2,3
1914,2,7
1917,2,3
1919,2,7
1921,2,7
1924,2,3
1928,2,3
1929,2,7
1930,2,3
1931,2,3
1934,2,7
1938,2,4
1940,0,0
1942,2,4
1945,2,4
1946,4,5
1947,4,6
1949,-1,2
1950,3,2
1951,0,0
1952,0,0
1956,3,2
1959,0,0
1960,2,7
1961,4,5
1962,4,5
1963,2,4
1966,4,5
1968,-1,6
1969,2,4
1970,4,6
1973,2,7
1974,4,6
