id,neuron_type
1,SR
2,SR
3,FF
4,SR
5,SR
6,SR
7,SR
8,SR
9,SR
10,SR
11,SR
12,SR
13,SR
14,SR
15,SR
16,SR
17,SIR
18,FF
19,SR
20,SR
21,SR
22,FF
23,SIR
24,SR
25,FF
26,SIR
27,SIR
28,FF
29,SR
30,SR
31,SIR
32,SIR
33,SR
34,SR
35,FF
36,SIR
37,SR
38,SIR
39,SIR
40,SR
41,FF
42,SR
43,SIR
44,SIR
45,SIR
46,SIR
47,SIR
48,SIR
49,SR
50,FF
51,SIR
52,SR
53,SR
54,SIR
55,SR
56,SR
57,SIR
58,SR
59,SIR
60,SIR
61,SIR
62,SIR
63,FF
64,SR
65,SIR
66,SR
67,SIR
68,SIR
69,SIR
70,SIR
71,SIR
72,SIR
73,FF
74,SR
75,FF
76,FF
77,SR
78,SIR
79,SR
80,SIR
81,SIR
82,SR
83,SR
84,FF
85,FF
86,SIR
87,SR
88,SIR
89,SIR
91,SIR
92,SR
93,SIR
94,SR
95,SR
96,SR
97,SR
98,SIR
99,SR
100,SR
101,SR
102,SR
103,SIR
104,SIR
105,SR
106,SIR
107,FF
108,SR
109,SR
110,SR
111,SR
112,SR
113,SR
114,SR
115,SR
116,SR
117,SR
118,SR
119,SR
120,SIR
121,SR
122,SR
123,SR
124,SR
125,SIR
126,SR
127,FF
128,SIR
129,SR
130,SR
131,SR
132,FF
