,session_name,k,L,bin_width,score,state
0,ESHOCK_03_LOC1,6,10,0.05,0.03218200063244337,sw
1,ESHOCK_04_LOC1,6,10,0.05,0.013499457443282193,sw
2,ESHOCK_06_LOC1,6,10,0.05,-0.007267957321394238,sw
3,ESHOCK_07_LOC1,6,10,0.05,-0.02233566676042549,sw
4,ESHOCK_08_LOC1,6,10,0.05,0.0357918768750789,sw
5,ESHOCK_09_LOC1,6,10,0.05,0.024176961870802097,sw
6,hamilton_10,6,10,0.05,0.02128942017575448,sw
7,hamilton_03,6,10,0.05,-0.002523289790727892,sw
8,hamilton_04,6,10,0.05,-0.04551118180065397,sw
9,hamilton_09,6,10,0.05,0.06443485979056535,sw
10,acute_15,6,10,0.05,0.0209237075807567,sw
11,acute_16,6,10,0.05,-0.4985035154979232,sw
12,acute_14,6,10,0.05,0.021128710890628653,sw
13,acute_12,6,10,0.05,0.016495350069835407,sw
14,acute_11,6,10,0.05,-0.022579368768256575,sw
15,ESHOCK_03_LOC1,6,10,0.05,0.007670481127994566,act
16,ESHOCK_04_LOC1,6,10,0.05,0.008415216542911778,act
17,ESHOCK_06_LOC1,6,10,0.05,-0.004552366466658005,act
18,ESHOCK_07_LOC1,6,10,0.05,0.03097284239313579,act
19,ESHOCK_08_LOC1,6,10,0.05,0.020823180450037924,act
20,ESHOCK_09_LOC1,6,10,0.05,0.020591285393565847,act
21,hamilton_10,6,10,0.05,-0.010905669742329335,act
22,hamilton_03,6,10,0.05,-0.00044229727623128527,act
23,hamilton_04,6,10,0.05,0.0014224295614400878,act
24,hamilton_09,6,10,0.05,0.015676915454084592,act
25,acute_15,6,10,0.05,0.019850243181361606,act
26,acute_16,6,10,0.05,0.027614991775081338,act
27,acute_14,6,10,0.05,0.017249467781975936,act
28,acute_12,6,10,0.05,-0.02165066477980433,act
29,acute_11,6,10,0.05,0.04524987999995608,act
30,ESHOCK_03_LOC1,6,10,0.1,0.005226138773339001,sw
31,ESHOCK_04_LOC1,6,10,0.1,0.01263938401584164,sw
32,ESHOCK_06_LOC1,6,10,0.1,-0.022817196691966028,sw
33,ESHOCK_07_LOC1,6,10,0.1,-0.00019877108648753083,sw
34,ESHOCK_08_LOC1,6,10,0.1,0.04004224622608745,sw
35,ESHOCK_09_LOC1,6,10,0.1,0.0052213641477653365,sw
36,hamilton_10,6,10,0.1,0.0412033922717421,sw
37,hamilton_03,6,10,0.1,0.015037837181507608,sw
38,hamilton_04,6,10,0.1,-0.03606313808490156,sw
39,hamilton_09,6,10,0.1,0.016415497876064004,sw
40,acute_15,6,10,0.1,0.006406790463791154,sw
41,acute_16,6,10,0.1,0.03141611394456737,sw
42,acute_14,6,10,0.1,0.017603145702421007,sw
43,acute_12,6,10,0.1,0.017622681078998077,sw
44,acute_11,6,10,0.1,-0.0003158626118957243,sw
45,ESHOCK_03_LOC1,6,10,0.1,0.004319648088637807,act
46,ESHOCK_04_LOC1,6,10,0.1,-0.005475592871093453,act
47,ESHOCK_06_LOC1,6,10,0.1,0.008076062334075105,act
48,ESHOCK_07_LOC1,6,10,0.1,0.02413028490462899,act
49,ESHOCK_08_LOC1,6,10,0.1,0.013597171639075388,act
50,ESHOCK_09_LOC1,6,10,0.1,-0.000483483637807704,act
51,hamilton_10,6,10,0.1,0.07166220191805805,act
52,hamilton_03,6,10,0.1,-0.025031640228035685,act
53,hamilton_04,6,10,0.1,0.010703962493422607,act
54,hamilton_09,6,10,0.1,0.013572576927626683,act
55,acute_15,6,10,0.1,0.002002865251686306,act
56,acute_16,6,10,0.1,0.013898406973828811,act
57,acute_14,6,10,0.1,0.018802886197640842,act
58,acute_12,6,10,0.1,-0.003399531590074029,act
59,acute_11,6,10,0.1,-0.006590785455555369,act
60,ESHOCK_03_LOC1,6,10,0.5,-0.012598210273107806,sw
61,ESHOCK_04_LOC1,6,10,0.5,-0.021810986452465285,sw
62,ESHOCK_06_LOC1,6,10,0.5,-0.056052652244313494,sw
63,ESHOCK_07_LOC1,6,10,0.5,0.01560559319593705,sw
64,ESHOCK_08_LOC1,6,10,0.5,-0.023273817233722113,sw
65,ESHOCK_09_LOC1,6,10,0.5,-0.027168761035984677,sw
66,hamilton_10,6,10,0.5,-0.12070349815235958,sw
67,hamilton_03,6,10,0.5,-0.01448270162903173,sw
68,hamilton_04,6,10,0.5,-0.015503016643220506,sw
69,hamilton_09,6,10,0.5,-0.012226491579291586,sw
70,acute_15,6,10,0.5,-0.016386748061569215,sw
71,acute_16,6,10,0.5,-0.04439076723009108,sw
72,acute_14,6,10,0.5,-0.02871346744328926,sw
73,acute_12,6,10,0.5,-0.01830387819121069,sw
74,acute_11,6,10,0.5,-0.008471784595861585,sw
75,ESHOCK_03_LOC1,6,10,0.5,-0.0016028718572824294,act
76,ESHOCK_04_LOC1,6,10,0.5,-0.03265884884184337,act
77,ESHOCK_06_LOC1,6,10,0.5,-0.013983092961033346,act
78,ESHOCK_07_LOC1,6,10,0.5,-0.01685370160057119,act
79,ESHOCK_08_LOC1,6,10,0.5,-0.026544229602745,act
80,ESHOCK_09_LOC1,6,10,0.5,-0.0028556745482111907,act
81,hamilton_10,6,10,0.5,-0.050568357591394816,act
82,hamilton_03,6,10,0.5,-0.03600762990317358,act
83,hamilton_04,6,10,0.5,-0.010530036624965123,act
84,hamilton_09,6,10,0.5,-0.027206335238396887,act
85,acute_15,6,10,0.5,-0.011994643819389311,act
86,acute_16,6,10,0.5,-0.001079946049764912,act
87,acute_14,6,10,0.5,0.0010073931407235312,act
88,acute_12,6,10,0.5,-0.008698655391372153,act
89,acute_11,6,10,0.5,-0.016956612190409028,act
90,ESHOCK_03_LOC1,6,10,1.0,-0.010197913122790997,sw
91,ESHOCK_04_LOC1,6,10,1.0,-0.03385463483643002,sw
92,ESHOCK_06_LOC1,6,10,1.0,-0.0582128211771061,sw
93,ESHOCK_07_LOC1,6,10,1.0,0.016988077358463412,sw
94,ESHOCK_08_LOC1,6,10,1.0,-0.0178865736513172,sw
95,ESHOCK_09_LOC1,6,10,1.0,-0.0074396727232083895,sw
96,hamilton_10,6,10,1.0,-0.04714727276083298,sw
97,hamilton_03,6,10,1.0,-0.023933431252162022,sw
98,hamilton_04,6,10,1.0,-0.015984870989704084,sw
99,hamilton_09,6,10,1.0,-0.01768955709207196,sw
100,acute_15,6,10,1.0,-0.005069155957563936,sw
101,acute_16,6,10,1.0,-0.049372393749470146,sw
102,acute_14,6,10,1.0,-0.04030214394167579,sw
103,acute_12,6,10,1.0,-0.011633175801759668,sw
104,acute_11,6,10,1.0,-0.015325635173536285,sw
105,ESHOCK_03_LOC1,6,10,1.0,-0.00676162443128176,act
106,ESHOCK_04_LOC1,6,10,1.0,-0.03247522687759041,act
107,ESHOCK_06_LOC1,6,10,1.0,-0.02635569521991301,act
108,ESHOCK_07_LOC1,6,10,1.0,-0.026079310369072423,act
109,ESHOCK_08_LOC1,6,10,1.0,-0.004108119181490205,act
110,ESHOCK_09_LOC1,6,10,1.0,-0.004596021240052886,act
111,hamilton_10,6,10,1.0,-0.04997320325124812,act
112,hamilton_03,6,10,1.0,-0.04135177958202269,act
113,hamilton_04,6,10,1.0,-0.011399891537581327,act
114,hamilton_09,6,10,1.0,-0.006237544488276837,act
115,acute_15,6,10,1.0,-0.002926789298867317,act
116,acute_16,6,10,1.0,-0.0008920863608740138,act
117,acute_14,6,10,1.0,8.639952239163646e-05,act
118,acute_12,6,10,1.0,-0.008521228551601734,act
119,acute_11,6,10,1.0,-0.022585958503141827,act
120,ESHOCK_03_LOC1,6,10,2.0,,sw
121,ESHOCK_04_LOC1,6,10,2.0,,sw
122,ESHOCK_06_LOC1,6,10,2.0,,sw
123,ESHOCK_07_LOC1,6,10,2.0,,sw
124,ESHOCK_08_LOC1,6,10,2.0,,sw
125,ESHOCK_09_LOC1,6,10,2.0,,sw
126,hamilton_10,6,10,2.0,,sw
127,hamilton_03,6,10,2.0,,sw
128,hamilton_04,6,10,2.0,,sw
129,hamilton_09,6,10,2.0,,sw
130,acute_15,6,10,2.0,,sw
131,acute_16,6,10,2.0,,sw
132,acute_14,6,10,2.0,,sw
133,acute_12,6,10,2.0,,sw
134,acute_11,6,10,2.0,,sw
135,ESHOCK_03_LOC1,6,10,2.0,,act
136,ESHOCK_04_LOC1,6,10,2.0,,act
137,ESHOCK_06_LOC1,6,10,2.0,,act
138,ESHOCK_07_LOC1,6,10,2.0,,act
139,ESHOCK_08_LOC1,6,10,2.0,,act
140,ESHOCK_09_LOC1,6,10,2.0,,act
141,hamilton_10,6,10,2.0,,act
142,hamilton_03,6,10,2.0,,act
143,hamilton_04,6,10,2.0,,act
144,hamilton_09,6,10,2.0,,act
145,acute_15,6,10,2.0,,act
146,acute_16,6,10,2.0,,act
147,acute_14,6,10,2.0,,act
148,acute_12,6,10,2.0,,act
149,acute_11,6,10,2.0,,act
