,session_name,k,L,bin_width,score,block
0,hamilton_04,6,10,0.05,-0.03845122649957691,pre
1,hamilton_09,6,10,0.05,0.018872639370849327,pre
2,hamilton_31,6,10,0.05,0.012117982289497726,pre
3,hamilton_38,6,10,0.05,-0.08126979146036536,pre
4,hamilton_37,6,10,0.05,0.00722059625600897,pre
5,hamilton_35,6,10,0.05,0.017758081931533408,pre
6,hamilton_36,6,10,0.05,0.016072736308978788,pre
7,hamilton_32,6,10,0.05,0.010089844465695923,pre
8,hamilton_04,6,10,0.05,0.04339189010253859,base_shock
9,hamilton_09,6,10,0.05,0.026291110328445232,base_shock
10,hamilton_31,6,10,0.05,0.0063819985757604825,base_shock
11,hamilton_38,6,10,0.05,0.012732966495021118,base_shock
12,hamilton_37,6,10,0.05,0.007691870180100635,base_shock
13,hamilton_35,6,10,0.05,0.020571360632834722,base_shock
14,hamilton_36,6,10,0.05,0.010017065877731683,base_shock
15,hamilton_32,6,10,0.05,-0.00023060286005571675,base_shock
16,hamilton_04,6,10,0.1,-0.01375433156366901,pre
17,hamilton_09,6,10,0.1,0.033776767148061534,pre
18,hamilton_31,6,10,0.1,0.010281293209910855,pre
19,hamilton_38,6,10,0.1,0.005817888545005391,pre
20,hamilton_37,6,10,0.1,-0.002427932406212448,pre
21,hamilton_35,6,10,0.1,0.013947714798137582,pre
22,hamilton_36,6,10,0.1,0.007149799512958637,pre
23,hamilton_32,6,10,0.1,0.008906271400526904,pre
24,hamilton_04,6,10,0.1,-0.027631615272931214,base_shock
25,hamilton_09,6,10,0.1,0.024329668587675695,base_shock
26,hamilton_31,6,10,0.1,0.007240319839784791,base_shock
27,hamilton_38,6,10,0.1,-0.04069699100246685,base_shock
28,hamilton_37,6,10,0.1,0.011616021921848822,base_shock
29,hamilton_35,6,10,0.1,0.013988308584878328,base_shock
30,hamilton_36,6,10,0.1,0.018062054232738406,base_shock
31,hamilton_32,6,10,0.1,0.02329022201924268,base_shock
32,hamilton_04,6,10,0.5,-0.019485950377362064,pre
33,hamilton_09,6,10,0.5,-0.016490959345091424,pre
34,hamilton_31,6,10,0.5,-0.00872334973183913,pre
35,hamilton_38,6,10,0.5,-0.021109241865608183,pre
36,hamilton_37,6,10,0.5,-0.029925876461890405,pre
37,hamilton_35,6,10,0.5,-0.03621673253136754,pre
38,hamilton_36,6,10,0.5,-0.007759415379359468,pre
39,hamilton_32,6,10,0.5,-0.015157323544448894,pre
40,hamilton_04,6,10,0.5,-0.051288628879915754,base_shock
41,hamilton_09,6,10,0.5,0.022586902606993076,base_shock
42,hamilton_31,6,10,0.5,0.0036375847521478094,base_shock
43,hamilton_38,6,10,0.5,0.011946244527757532,base_shock
44,hamilton_37,6,10,0.5,0.007683604141738172,base_shock
45,hamilton_35,6,10,0.5,0.00953501907138922,base_shock
46,hamilton_36,6,10,0.5,0.00839794141837044,base_shock
47,hamilton_32,6,10,0.5,0.014175926804448447,base_shock
48,hamilton_04,6,10,1.0,-0.028452201035212475,pre
49,hamilton_09,6,10,1.0,-0.03449945381962326,pre
50,hamilton_31,6,10,1.0,-0.011545860234865053,pre
51,hamilton_38,6,10,1.0,-0.03694783213139578,pre
52,hamilton_37,6,10,1.0,-0.04439452880835082,pre
53,hamilton_35,6,10,1.0,-0.032747629376279994,pre
54,hamilton_36,6,10,1.0,-0.013691552590418685,pre
55,hamilton_32,6,10,1.0,-0.028630417408655146,pre
56,hamilton_04,6,10,1.0,-0.06569554582442762,base_shock
57,hamilton_09,6,10,1.0,0.01058434425044295,base_shock
58,hamilton_31,6,10,1.0,-0.0033673740523324524,base_shock
59,hamilton_38,6,10,1.0,-0.012543445991861437,base_shock
60,hamilton_37,6,10,1.0,0.0021837969341220857,base_shock
61,hamilton_35,6,10,1.0,0.002648252309620312,base_shock
62,hamilton_36,6,10,1.0,0.0019684828582453334,base_shock
63,hamilton_32,6,10,1.0,0.006205879425325544,base_shock
