id,experiment,exp_neuron,cv-isi,firing_rate,to_baseline,to_troff,depth_um
1,14,1,0.191204548,2.320274235,2.15,0.95,1467
2,14,2,0.473255962,1.313012896,2.6,0.95,1618
3,14,3,0.294250757,18.88213133,1.5,0.85,1412
4,14,4,0.290063828,2.718850212,2.2,1.15,1501
5,14,11,0.436682314,2.255826307,2.35,1.4,1472
6,14,12,0.582801163,2.923350112,2.6,1.45,1574
7,14,13,0.374585837,2.952254407,1.9,1.15,1660
8,14,14,0.451349288,3.345783106,1.7,1,1726
9,14,16,2.300428867,0.60861409,2.3,1.4,1930
10,14,17,0.426187217,1.583300978,2.35,1.4,2004
11,14,18,0.653385997,2.276531566,2.4,1.45,2447
12,14,19,1.030956507,6.277106581,1.6,0.95,2566
13,14,20,1.359132051,1.00086516,2.6,1.55,2633
14,14,21,0.225833938,4.173766669,1.4,0.7,1723
15,14,22,0.647119999,2.348761157,1.1,0.6,1813
16,14,23,0.473546386,1.106031777,1.65,0.9,1937
17,15,6,1.185429811,1.866666667,1.85,1.2,1410
18,15,8,0.954802334,8.366666667,1.65,0.75,2076
19,15,9,0.433887243,5.15,1.35,0.75,2224
20,15,11,0.520554066,3.305150151,1.1,0.65,2374
21,15,12,0.98272723,0.225,2.05,1.15,2452
22,15,13,0.522168398,18.96666667,1.4,0.7,
23,15,14,1.202326417,1.425,1.65,0.75,
24,15,16,0.982085764,2.725,2.3,1.35,1470
25,15,17,0.240161404,6.039675883,2.1,1.25,1573
26,15,18,1.070734978,0.776822649,1.95,1.1,1653
27,15,20,1.000668526,2.609475124,1.45,0.85,1850
28,15,21,0.416679382,15.52963393,1.7,0.95,1939
29,15,22,0.555895805,1.158333333,2.6,0.7,1409
30,15,23,0.498083055,2.325,2.4,1.2,1551
31,15,24,1.593290687,4.325,1.1,0.6,1571
32,15,25,1.532835007,2.045831572,1.2,0.6,2002
33,16,2,0.373438627,3.641666667,1.75,0.8,1061
34,16,3,0.523707986,2.55,1.7,1,1250
35,16,4,0.521098077,6.808333333,1.25,0.7,1313
36,16,5,0.988909245,0.655331655,1.7,0.75,1421
37,16,6,0.369240224,2.208333333,1.75,0.8,1454
38,16,7,1.953949451,0.54940756,1.45,0.85,1593
39,16,9,1.151615024,5.15,0.85,0.45,1750
40,16,12,0.351216078,2.175,1.85,0.8,1920
41,16,14,0.150988922,15.425,1.55,0.65,1605
42,16,15,0.431232601,3.183333333,1.75,0.95,1873
43,16,17,1.498642564,0.495219507,1,0.5,2161
44,16,18,1.239611149,1.158333333,0.9,0.55,2246
45,17,1,1.107804537,0.248696656,1.45,0.85,1602
46,17,2,1.69527638,0.078621479,1.7,1.05,1693
47,17,3,1.088063955,0.410872811,1.05,0.6,2203
48,17,4,1.324007034,1.500077736,1.25,0.7,2359
49,17,5,0.44688344,1.976581292,1.6,0.7,2544
50,17,6,0.498093724,8.216666667,0.85,0.5,2001
51,17,16,1.051708341,0.553561994,1.45,0.85,1765
52,17,17,0.497741401,2.687151159,,,1846
53,17,18,0.395934761,2.958326563,2.5,1.2,2396
54,17,19,1.24046278,0.47280456,1.55,0.9,2585
55,18,12,0.652553499,2.604202652,1.75,1,1416
56,18,13,0.685176551,4.05,1.65,0.9,1733
57,18,14,2.083147526,0.2,1,0.6,1854
58,18,15,1.52324903,0.316077727,2.2,0.85,1988
59,18,16,1.039025903,3.475,1.35,0.7,2116
60,18,24,0.921590149,1.2749667,1.15,0.65,1570
61,18,25,1.47398138,0.614264258,1.2,0.7,1688
62,18,26,1.042461276,2.758333333,1.3,0.65,1758
63,18,27,0.345338494,7.216666667,1.85,0.85,2168
64,18,28,0.594329417,3.016666667,,,2384
65,19,4,0.583803058,3.891666667,1,0.55,1386
66,19,6,0.514172494,3.441666667,1.45,0.85,2032
67,19,7,1.550197363,0.484390516,1.4,0.85,1771
68,19,8,1.282175064,1.215207197,1.45,0.85,1928
69,19,11,0.705321789,1.033333333,1.2,0.65,1796
70,19,13,1.020585299,1.35,0.95,0.5,1976
71,19,15,1.05527401,0.425,0.65,0.4,2018
72,19,16,2.454166651,0.169013621,1.4,0.8,2046
73,19,17,1.686325192,11.54981145,1.45,0.85,2178
74,19,20,0.378459692,5.092593306,1.35,0.65,1341
75,19,21,0.25784862,7.583333333,1.15,0.7,1430
76,19,22,0.228562787,15.38333333,1.05,0.55,1633
77,19,23,0.290936798,4.625,1.75,0.8,1674
78,20,1,1.337379694,0.409957877,1.25,0.7,1329
79,20,2,0.539069474,2.676660351,1.35,0.7,1504
80,20,4,0.69536829,1.159607332,1.05,0.6,2230
81,20,5,0.902165413,2.422133478,1.35,0.7,2280
82,20,8,0.236621305,3.68087521,2,0.85,2075
83,20,9,0.511322737,1.358636137,1.8,0.85,2302
84,20,11,0.544588447,6.908551251,1.2,0.7,1902
