A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,3Post,0.65,-0.98,1.63,0.04,39.59,0.0,2.29,1031,-1.63,0.0,True,hamilton_04,FF
1Pre,3Post,-0.37,-0.12,-0.25,0.05,-4.64,0.0,-0.27,1032,0.25,0.0,True,hamilton_04,SR
1Pre,3Post,0.53,-0.66,1.19,0.05,23.74,0.0,1.37,1034,-1.19,0.0,True,hamilton_04,SR
1Pre,3Post,0.34,-0.12,0.45,0.06,8.09,0.0,0.47,1035,-0.45,0.0,True,hamilton_04,SR
1Pre,3Post,0.37,-0.1,0.47,0.06,8.5,0.0,0.49,1036,-0.47,0.0,True,hamilton_04,SIR
1Pre,3Post,0.4,-0.37,0.77,0.05,13.98,0.0,0.81,1037,-0.77,0.0,True,hamilton_04,SIR
1Pre,3Post,0.3,-0.11,0.41,0.06,7.35,0.0,0.42,1038,-0.41,0.0,True,hamilton_04,SR
1Pre,3Post,0.11,-0.16,0.27,0.06,4.7,0.0,0.27,1040,-0.27,0.0,True,hamilton_04,SIR
1Pre,3Post,0.14,-0.21,0.35,0.06,6.14,0.0,0.35,1041,-0.35,0.0,True,hamilton_04,SIR
1Pre,3Post,0.7,-0.84,1.54,0.04,34.62,0.0,2.0,1044,-1.54,0.0,True,hamilton_04,SIR
1Pre,3Post,0.36,-0.08,0.44,0.06,7.94,0.0,0.46,1045,-0.44,0.0,True,hamilton_04,SIR
1Pre,3Post,0.43,-0.76,1.19,0.05,24.43,0.0,1.41,1046,-1.19,0.0,True,hamilton_04,SR
1Pre,3Post,0.44,-0.15,0.59,0.05,10.72,0.0,0.62,1047,-0.59,0.0,True,hamilton_04,SR
1Pre,3Post,0.25,-0.12,0.37,0.06,6.55,0.0,0.38,1048,-0.37,0.0,True,hamilton_04,SIR
1Pre,3Post,0.57,-0.67,1.24,0.05,24.92,0.0,1.44,1049,-1.24,0.0,True,hamilton_04,SR
1Pre,3Post,0.52,-0.41,0.94,0.05,17.61,0.0,1.02,1050,-0.94,0.0,True,hamilton_04,SR
1Pre,3Post,-0.17,0.33,-0.5,0.06,-8.86,0.0,-0.51,1051,0.5,0.0,True,hamilton_09,FF
1Pre,3Post,-0.14,-0.45,0.31,0.05,6.06,0.0,0.35,1052,-0.31,0.0,True,hamilton_09,SR
1Pre,3Post,-0.35,-0.34,-0.02,0.05,-0.32,0.94,-0.02,1053,0.02,0.97,False,hamilton_09,FF
1Pre,3Post,-0.14,-0.44,0.3,0.05,5.68,0.0,0.33,1054,-0.3,0.0,True,hamilton_09,FF
1Pre,3Post,-0.21,-0.25,0.04,0.05,0.65,0.79,0.04,1055,-0.04,0.83,False,hamilton_09,FF
1Pre,3Post,-0.03,0.2,-0.23,0.06,-4.08,0.0,-0.24,1056,0.23,0.0,True,hamilton_09,SIR
1Pre,3Post,0.11,-0.72,0.83,0.05,17.15,0.0,0.99,1057,-0.83,0.0,True,hamilton_09,FF
1Pre,3Post,0.26,0.56,-0.3,0.05,-6.46,0.0,-0.37,1058,0.3,0.0,True,hamilton_09,SR
1Pre,3Post,-0.09,-0.5,0.41,0.05,7.84,0.0,0.45,1059,-0.41,0.0,True,hamilton_09,SR
1Pre,3Post,-0.5,0.39,-0.88,0.05,-16.48,0.0,-0.95,1060,0.88,0.0,True,hamilton_09,SR
1Pre,3Post,-0.14,-0.59,0.45,0.05,9.32,0.0,0.54,1061,-0.45,0.0,True,hamilton_09,SR
1Pre,3Post,-0.15,0.47,-0.62,0.05,-11.35,0.0,-0.66,1062,0.62,0.0,True,hamilton_09,SIR
1Pre,3Post,-0.15,0.28,-0.43,0.06,-7.58,0.0,-0.44,1064,0.43,0.0,True,hamilton_09,FF
1Pre,3Post,0.39,-0.16,0.55,0.06,9.88,0.0,0.57,1065,-0.55,0.0,True,hamilton_09,SR
1Pre,3Post,-0.27,0.06,-0.32,0.06,-5.68,0.0,-0.33,1068,0.32,0.0,True,hamilton_09,FF
1Pre,3Post,0.0,-0.18,0.18,0.06,3.18,0.0,0.18,1613,-0.18,0.01,True,hamilton_31,SIR
1Pre,3Post,-0.14,-0.29,0.15,0.05,2.75,0.02,0.16,1614,-0.15,0.02,True,hamilton_31,SIR
1Pre,3Post,-0.01,-0.38,0.37,0.05,6.79,0.0,0.39,1615,-0.37,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.12,-0.34,0.22,0.05,4.11,0.0,0.24,1616,-0.22,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.0,-0.18,0.18,0.06,3.12,0.01,0.18,1617,-0.18,0.01,True,hamilton_31,SIR
1Pre,3Post,-0.24,-0.44,0.2,0.05,3.99,0.0,0.23,1619,-0.2,0.0,True,hamilton_31,SIR
1Pre,3Post,0.57,0.05,0.52,0.05,10.22,0.0,0.59,1620,-0.52,0.0,True,hamilton_31,SR
1Pre,3Post,0.13,-0.2,0.33,0.06,5.81,0.0,0.34,1621,-0.33,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.31,-0.3,-0.01,0.05,-0.29,0.96,-0.02,1622,0.01,0.98,False,hamilton_31,SIR
1Pre,3Post,-0.34,0.06,-0.39,0.06,-7.04,0.0,-0.41,1623,0.39,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.29,-0.16,-0.12,0.05,-2.24,0.07,-0.13,1625,0.12,0.07,False,hamilton_31,SIR
1Pre,3Post,-0.25,-0.55,0.3,0.05,6.47,0.0,0.37,1626,-0.3,0.0,True,hamilton_31,SIR
1Pre,3Post,0.05,-0.38,0.43,0.06,7.78,0.0,0.45,1632,-0.43,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.16,-0.19,0.03,0.06,0.62,0.81,0.04,1636,-0.03,0.84,False,hamilton_31,SIR
1Pre,3Post,-0.38,-0.57,0.19,0.04,4.47,0.0,0.26,1638,-0.19,0.0,True,hamilton_31,SIR
1Pre,3Post,0.32,-0.14,0.46,0.06,8.14,0.0,0.47,1639,-0.46,0.0,True,hamilton_31,SIR
1Pre,3Post,0.26,0.06,0.2,0.06,3.55,0.0,0.2,1640,-0.2,0.0,True,hamilton_31,FF
1Pre,3Post,-0.25,-0.49,0.24,0.05,4.92,0.0,0.28,1641,-0.24,0.0,True,hamilton_31,SIR
1Pre,3Post,0.25,-0.32,0.57,0.06,10.13,0.0,0.58,1642,-0.57,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.11,-0.42,0.31,0.05,5.8,0.0,0.33,1644,-0.31,0.0,True,hamilton_31,SIR
1Pre,3Post,0.2,-0.56,0.76,0.05,14.36,0.0,0.83,1645,-0.76,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.35,-0.5,0.15,0.05,3.29,0.0,0.19,1647,-0.15,0.0,True,hamilton_31,SR
1Pre,3Post,0.03,0.13,-0.11,0.06,-1.85,0.15,-0.11,1648,0.11,0.17,False,hamilton_31,SIR
1Pre,3Post,0.46,-0.41,0.88,0.05,16.29,0.0,0.94,1649,-0.88,0.0,True,hamilton_31,SIR
1Pre,3Post,-0.0,-0.45,0.45,0.05,8.37,0.0,0.48,1650,-0.45,0.0,True,hamilton_31,SIR
1Pre,3Post,0.21,0.3,-0.09,0.05,-1.6,0.25,-0.09,1651,0.09,0.27,False,hamilton_31,SR
1Pre,3Post,-0.26,-0.51,0.24,0.05,5.07,0.0,0.29,1655,-0.24,0.0,True,hamilton_31,SIR
1Pre,3Post,0.51,-0.68,1.18,0.05,23.54,0.0,1.36,1657,-1.18,0.0,True,hamilton_31,SR
1Pre,3Post,0.39,-0.55,0.94,0.05,17.76,0.0,1.03,1658,-0.94,0.0,True,hamilton_31,SR
1Pre,3Post,-0.31,-0.33,0.01,0.05,0.23,0.97,0.01,1659,-0.01,0.99,False,hamilton_31,SIR
1Pre,3Post,0.69,0.33,0.36,0.04,9.27,0.0,0.53,1660,-0.36,0.0,True,hamilton_31,FF
1Pre,3Post,0.11,0.22,-0.11,0.06,-2.0,0.11,-0.12,1661,0.11,0.13,False,hamilton_31,SR
1Pre,3Post,-0.5,-0.57,0.06,0.04,1.7,0.21,0.1,1663,-0.06,0.23,False,hamilton_31,SIR
1Pre,3Post,-0.15,-0.03,-0.13,0.06,-2.23,0.07,-0.13,1664,0.13,0.08,False,hamilton_31,SIR
1Pre,3Post,0.52,-0.26,0.77,0.05,14.34,0.0,0.83,1666,-0.77,0.0,True,hamilton_31,SR
1Pre,3Post,-0.16,-0.27,0.11,0.05,2.05,0.1,0.12,1667,-0.11,0.11,False,hamilton_31,SIR
1Pre,3Post,0.73,-0.35,1.08,0.05,21.74,0.0,1.25,1668,-1.08,0.0,True,hamilton_31,SR
