A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
1Pre,2Shock,0.65,0.32,0.33,0.04,8.04,0.0,0.46,1031,-0.33,0.0,True,hamilton_04,FF
1Pre,2Shock,-0.37,0.5,-0.87,0.05,-16.14,0.0,-0.93,1032,0.87,0.0,True,hamilton_04,SR
1Pre,2Shock,0.53,0.13,0.39,0.05,7.84,0.0,0.45,1034,-0.39,0.0,True,hamilton_04,SR
1Pre,2Shock,0.34,-0.22,0.55,0.06,9.84,0.0,0.57,1035,-0.55,0.0,True,hamilton_04,SR
1Pre,2Shock,0.37,-0.27,0.64,0.06,11.48,0.0,0.66,1036,-0.64,0.0,True,hamilton_04,SIR
1Pre,2Shock,0.4,-0.02,0.42,0.05,7.65,0.0,0.44,1037,-0.42,0.0,True,hamilton_04,SIR
1Pre,2Shock,0.3,-0.19,0.5,0.06,8.84,0.0,0.51,1038,-0.5,0.0,True,hamilton_04,SR
1Pre,2Shock,0.11,0.05,0.05,0.06,0.93,0.62,0.05,1040,-0.05,0.65,False,hamilton_04,SIR
1Pre,2Shock,0.14,0.06,0.08,0.06,1.39,0.35,0.08,1041,-0.08,0.37,False,hamilton_04,SIR
1Pre,2Shock,0.7,0.14,0.56,0.04,12.67,0.0,0.73,1044,-0.56,0.0,True,hamilton_04,SIR
1Pre,2Shock,0.36,-0.28,0.63,0.06,11.39,0.0,0.66,1045,-0.63,0.0,True,hamilton_04,SIR
1Pre,2Shock,0.43,0.33,0.09,0.05,1.95,0.13,0.11,1046,-0.09,0.14,False,hamilton_04,SR
1Pre,2Shock,0.44,-0.28,0.72,0.05,13.12,0.0,0.76,1047,-0.72,0.0,True,hamilton_04,SR
1Pre,2Shock,0.25,-0.12,0.37,0.06,6.56,0.0,0.38,1048,-0.37,0.0,True,hamilton_04,SIR
1Pre,2Shock,0.57,0.1,0.46,0.05,9.31,0.0,0.54,1049,-0.46,0.0,True,hamilton_04,SR
1Pre,2Shock,0.52,-0.11,0.64,0.05,11.99,0.0,0.69,1050,-0.64,0.0,True,hamilton_04,SR
1Pre,2Shock,-0.17,-0.15,-0.02,0.06,-0.32,0.94,-0.02,1051,0.02,0.96,False,hamilton_09,FF
1Pre,2Shock,-0.14,0.59,-0.73,0.05,-14.16,0.0,-0.82,1052,0.73,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.35,0.69,-1.05,0.05,-20.79,0.0,-1.2,1053,1.05,0.0,True,hamilton_09,FF
1Pre,2Shock,-0.14,0.58,-0.72,0.05,-13.76,0.0,-0.79,1054,0.72,0.0,True,hamilton_09,FF
1Pre,2Shock,-0.21,0.45,-0.66,0.05,-12.12,0.0,-0.7,1055,0.66,0.0,True,hamilton_09,FF
1Pre,2Shock,-0.03,-0.17,0.14,0.06,2.47,0.04,0.14,1056,-0.14,0.04,True,hamilton_09,SIR
1Pre,2Shock,0.11,0.61,-0.49,0.05,-10.18,0.0,-0.59,1057,0.49,0.0,True,hamilton_09,FF
1Pre,2Shock,0.26,-0.82,1.07,0.05,23.0,0.0,1.33,1058,-1.07,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.09,0.59,-0.68,0.05,-13.12,0.0,-0.76,1059,0.68,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.5,0.11,-0.61,0.05,-11.44,0.0,-0.66,1060,0.61,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.14,0.74,-0.88,0.05,-18.22,0.0,-1.05,1061,0.88,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.15,-0.32,0.17,0.05,3.14,0.0,0.18,1062,-0.17,0.01,True,hamilton_09,SIR
1Pre,2Shock,-0.15,-0.13,-0.01,0.06,-0.23,0.97,-0.01,1064,0.01,0.98,False,hamilton_09,FF
1Pre,2Shock,0.39,-0.23,0.62,0.06,11.15,0.0,0.64,1065,-0.62,0.0,True,hamilton_09,SR
1Pre,2Shock,-0.27,0.21,-0.48,0.06,-8.44,0.0,-0.49,1068,0.48,0.0,True,hamilton_09,FF
1Pre,2Shock,0.0,0.18,-0.18,0.06,-3.11,0.01,-0.18,1613,0.18,0.01,True,hamilton_31,SIR
1Pre,2Shock,-0.14,0.44,-0.58,0.05,-10.6,0.0,-0.61,1614,0.58,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.01,0.39,-0.39,0.05,-7.17,0.0,-0.41,1615,0.39,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.12,0.46,-0.58,0.05,-10.72,0.0,-0.62,1616,0.58,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.0,0.18,-0.18,0.06,-3.21,0.0,-0.18,1617,0.18,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.24,0.68,-0.92,0.05,-18.34,0.0,-1.06,1619,0.92,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.57,-0.61,1.18,0.05,23.27,0.0,1.34,1620,-1.18,0.0,True,hamilton_31,SR
1Pre,2Shock,0.13,0.08,0.05,0.06,0.88,0.65,0.05,1621,-0.05,0.68,False,hamilton_31,SIR
1Pre,2Shock,-0.31,0.61,-0.92,0.05,-17.72,0.0,-1.02,1622,0.92,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.34,0.28,-0.62,0.06,-11.03,0.0,-0.64,1623,0.62,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.29,0.45,-0.74,0.05,-13.48,0.0,-0.78,1625,0.74,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.25,0.8,-1.05,0.05,-22.32,0.0,-1.29,1626,1.05,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.05,0.32,-0.27,0.06,-4.87,0.0,-0.28,1632,0.27,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.16,0.35,-0.5,0.06,-9.0,0.0,-0.52,1636,0.5,0.0,True,hamilton_31,SIR
1Pre,2Shock,-0.38,0.95,-1.32,0.04,-31.04,0.0,-1.79,1638,1.32,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.32,-0.18,0.49,0.06,8.77,0.0,0.51,1639,-0.49,0.0,True,hamilton_31,SIR
1Pre,2Shock,0.26,-0.32,0.58,0.06,10.39,0.0,0.6,1640,-0.58,0.0,True,hamilton_31,FF
