A,B,mean(A),mean(B),diff,se,T,p-tukey,hedges,neuron_id,diff_inv,p_adj,sig,session_name,neuron_type
2Shock,3Post,0.32,-0.98,1.3,0.04,31.55,0.0,1.82,1031,-1.3,0.0,True,hamilton_04,FF
2Shock,3Post,0.5,-0.12,0.62,0.05,11.5,0.0,0.66,1032,-0.62,0.0,True,hamilton_04,SR
2Shock,3Post,0.13,-0.66,0.8,0.05,15.91,0.0,0.92,1034,-0.8,0.0,True,hamilton_04,SR
2Shock,3Post,-0.22,-0.12,-0.1,0.06,-1.75,0.19,-0.1,1035,0.1,0.21,False,hamilton_04,SR
2Shock,3Post,-0.27,-0.1,-0.17,0.06,-2.98,0.01,-0.17,1036,0.17,0.01,True,hamilton_04,SIR
2Shock,3Post,-0.02,-0.37,0.35,0.05,6.33,0.0,0.37,1037,-0.35,0.0,True,hamilton_04,SIR
2Shock,3Post,-0.19,-0.11,-0.08,0.06,-1.5,0.29,-0.09,1038,0.08,0.32,False,hamilton_04,SR
2Shock,3Post,0.05,-0.16,0.22,0.06,3.77,0.0,0.22,1040,-0.22,0.0,True,hamilton_04,SIR
2Shock,3Post,0.06,-0.21,0.27,0.06,4.76,0.0,0.27,1041,-0.27,0.0,True,hamilton_04,SIR
2Shock,3Post,0.14,-0.84,0.98,0.04,21.95,0.0,1.27,1044,-0.98,0.0,True,hamilton_04,SIR
2Shock,3Post,-0.28,-0.08,-0.19,0.06,-3.45,0.0,-0.2,1045,0.19,0.0,True,hamilton_04,SIR
2Shock,3Post,0.33,-0.76,1.09,0.05,22.48,0.0,1.3,1046,-1.09,0.0,True,hamilton_04,SR
2Shock,3Post,-0.28,-0.15,-0.13,0.05,-2.39,0.04,-0.14,1047,0.13,0.05,False,hamilton_04,SR
2Shock,3Post,-0.12,-0.12,-0.0,0.06,-0.0,1.0,-0.0,1048,0.0,1.0,False,hamilton_04,SIR
2Shock,3Post,0.1,-0.67,0.78,0.05,15.62,0.0,0.9,1049,-0.78,0.0,True,hamilton_04,SR
2Shock,3Post,-0.11,-0.41,0.3,0.05,5.62,0.0,0.32,1050,-0.3,0.0,True,hamilton_04,SR
2Shock,3Post,-0.15,0.33,-0.48,0.06,-8.54,0.0,-0.49,1051,0.48,0.0,True,hamilton_09,FF
2Shock,3Post,0.59,-0.45,1.05,0.05,20.21,0.0,1.17,1052,-1.05,0.0,True,hamilton_09,SR
2Shock,3Post,0.69,-0.34,1.03,0.05,20.46,0.0,1.18,1053,-1.03,0.0,True,hamilton_09,FF
2Shock,3Post,0.58,-0.44,1.02,0.05,19.44,0.0,1.12,1054,-1.02,0.0,True,hamilton_09,FF
2Shock,3Post,0.45,-0.25,0.7,0.05,12.77,0.0,0.74,1055,-0.7,0.0,True,hamilton_09,FF
2Shock,3Post,-0.17,0.2,-0.37,0.06,-6.55,0.0,-0.38,1056,0.37,0.0,True,hamilton_09,SIR
2Shock,3Post,0.61,-0.72,1.32,0.05,27.33,0.0,1.58,1057,-1.32,0.0,True,hamilton_09,FF
2Shock,3Post,-0.82,0.56,-1.37,0.05,-29.45,0.0,-1.7,1058,1.37,0.0,True,hamilton_09,SR
2Shock,3Post,0.59,-0.5,1.08,0.05,20.95,0.0,1.21,1059,-1.08,0.0,True,hamilton_09,SR
2Shock,3Post,0.11,0.39,-0.27,0.05,-5.04,0.0,-0.29,1060,0.27,0.0,True,hamilton_09,SR
2Shock,3Post,0.74,-0.59,1.33,0.05,27.53,0.0,1.59,1061,-1.33,0.0,True,hamilton_09,SR
2Shock,3Post,-0.32,0.47,-0.79,0.05,-14.49,0.0,-0.84,1062,0.79,0.0,True,hamilton_09,SIR
2Shock,3Post,-0.13,0.28,-0.42,0.06,-7.36,0.0,-0.42,1064,0.42,0.0,True,hamilton_09,FF
2Shock,3Post,-0.23,-0.16,-0.07,0.06,-1.26,0.42,-0.07,1065,0.07,0.45,False,hamilton_09,SR
2Shock,3Post,0.21,0.06,0.16,0.06,2.76,0.02,0.16,1068,-0.16,0.02,True,hamilton_09,FF
2Shock,3Post,0.18,-0.18,0.36,0.06,6.29,0.0,0.36,1613,-0.36,0.0,True,hamilton_31,SIR
2Shock,3Post,0.44,-0.29,0.73,0.05,13.35,0.0,0.77,1614,-0.73,0.0,True,hamilton_31,SIR
2Shock,3Post,0.39,-0.38,0.77,0.05,13.95,0.0,0.81,1615,-0.77,0.0,True,hamilton_31,SIR
2Shock,3Post,0.46,-0.34,0.81,0.05,14.82,0.0,0.86,1616,-0.81,0.0,True,hamilton_31,SIR
2Shock,3Post,0.18,-0.18,0.36,0.06,6.32,0.0,0.36,1617,-0.36,0.0,True,hamilton_31,SIR
2Shock,3Post,0.68,-0.44,1.12,0.05,22.32,0.0,1.29,1619,-1.12,0.0,True,hamilton_31,SIR
2Shock,3Post,-0.61,0.05,-0.66,0.05,-13.04,0.0,-0.75,1620,0.66,0.0,True,hamilton_31,SR
2Shock,3Post,0.08,-0.2,0.28,0.06,4.93,0.0,0.28,1621,-0.28,0.0,True,hamilton_31,SIR
2Shock,3Post,0.61,-0.3,0.91,0.05,17.43,0.0,1.01,1622,-0.91,0.0,True,hamilton_31,SIR
2Shock,3Post,0.28,0.06,0.22,0.06,3.98,0.0,0.23,1623,-0.22,0.0,True,hamilton_31,SIR
2Shock,3Post,0.45,-0.16,0.61,0.05,11.24,0.0,0.65,1625,-0.61,0.0,True,hamilton_31,SIR
2Shock,3Post,0.8,-0.55,1.35,0.05,28.77,0.0,1.66,1626,-1.35,0.0,True,hamilton_31,SIR
2Shock,3Post,0.32,-0.38,0.7,0.06,12.64,0.0,0.73,1632,-0.7,0.0,True,hamilton_31,SIR
2Shock,3Post,0.35,-0.19,0.54,0.06,9.62,0.0,0.56,1636,-0.54,0.0,True,hamilton_31,SIR
2Shock,3Post,0.95,-0.57,1.52,0.04,35.5,0.0,2.05,1638,-1.52,0.0,True,hamilton_31,SIR
2Shock,3Post,-0.18,-0.14,-0.04,0.06,-0.62,0.81,-0.04,1639,0.04,0.84,False,hamilton_31,SIR
2Shock,3Post,-0.32,0.06,-0.38,0.06,-6.84,0.0,-0.39,1640,0.38,0.0,True,hamilton_31,FF
2Shock,3Post,0.75,-0.49,1.24,0.05,25.45,0.0,1.47,1641,-1.24,0.0,True,hamilton_31,SIR
2Shock,3Post,0.08,-0.32,0.4,0.06,7.1,0.0,0.41,1642,-0.4,0.0,True,hamilton_31,SIR
2Shock,3Post,0.52,-0.42,0.94,0.05,17.6,0.0,1.02,1644,-0.94,0.0,True,hamilton_31,SIR
2Shock,3Post,0.37,-0.56,0.93,0.05,17.59,0.0,1.02,1645,-0.93,0.0,True,hamilton_31,SIR
2Shock,3Post,0.84,-0.5,1.34,0.05,28.96,0.0,1.67,1647,-1.34,0.0,True,hamilton_31,SR
2Shock,3Post,-0.16,0.13,-0.29,0.06,-5.09,0.0,-0.29,1648,0.29,0.0,True,hamilton_31,SIR
2Shock,3Post,-0.05,-0.41,0.37,0.05,6.77,0.0,0.39,1649,-0.37,0.0,True,hamilton_31,SIR
2Shock,3Post,0.45,-0.45,0.9,0.05,16.72,0.0,0.97,1650,-0.9,0.0,True,hamilton_31,SIR
2Shock,3Post,-0.51,0.3,-0.81,0.05,-15.11,0.0,-0.87,1651,0.81,0.0,True,hamilton_31,SR
2Shock,3Post,0.77,-0.51,1.28,0.05,26.59,0.0,1.54,1655,-1.28,0.0,True,hamilton_31,SIR
2Shock,3Post,0.17,-0.68,0.84,0.05,16.81,0.0,0.97,1657,-0.84,0.0,True,hamilton_31,SR
2Shock,3Post,0.17,-0.55,0.72,0.05,13.63,0.0,0.79,1658,-0.72,0.0,True,hamilton_31,SR
2Shock,3Post,0.64,-0.33,0.96,0.05,18.7,0.0,1.08,1659,-0.96,0.0,True,hamilton_31,SIR
2Shock,3Post,-1.02,0.33,-1.34,0.04,-34.15,0.0,-1.97,1660,1.34,0.0,True,hamilton_31,FF
2Shock,3Post,-0.33,0.22,-0.55,0.06,-9.8,0.0,-0.57,1661,0.55,0.0,True,hamilton_31,SR
2Shock,3Post,1.07,-0.57,1.63,0.04,43.2,0.0,2.49,1663,-1.63,0.0,True,hamilton_31,SIR
2Shock,3Post,0.18,-0.03,0.21,0.06,3.61,0.0,0.21,1664,-0.21,0.0,True,hamilton_31,SIR
2Shock,3Post,-0.26,-0.26,-0.01,0.05,-0.1,0.99,-0.01,1666,0.01,1.0,False,hamilton_31,SR
