neuron_id,n_pre,n_post,Mean_pre,Mean_post,Diff,U,p,neuron_type,session_name,group_name
1051,600.0,1199.0,-9.473903143468003e-17,-0.9857369496947977,-0.9857369496947976,604753.5,3.527548655348403e-208,FF,hamilton_09,acute_cit
1053,600.0,1199.0,1.5395092608135505e-16,-2.7750517417509615,-2.7750517417509615,576617.5,1.0083150368278813e-98,FF,hamilton_09,acute_cit
1054,600.0,1199.0,-1.4802973661668754e-17,1.6153063844603905,1.6153063844603905,354296.0,0.005174447442528042,FF,hamilton_09,acute_cit
1055,600.0,1199.0,0.0,0.17850110229841332,0.17850110229841332,356355.0,0.19613193168020426,FF,hamilton_09,acute_cit
1056,600.0,1199.0,1.1842378929335004e-17,-0.6487710880297801,-0.6487710880297801,559309.0,1.1016197216567953e-106,SIR,hamilton_09,acute_cit
1057,600.0,1199.0,5.921189464667502e-18,-0.07425214144557456,-0.07425214144557456,362998.0,0.050934837269055525,FF,hamilton_09,acute_cit
1058,600.0,1199.0,5.921189464667502e-18,0.07591745921663529,0.07591745921663529,352524.5,0.06309883287691871,SR,hamilton_09,acute_cit
1060,600.0,1199.0,-1.1842378929335004e-17,0.15921748043540943,0.15921748043540943,358196.0,0.28375715903777166,SR,hamilton_09,acute_cit
1062,600.0,1199.0,0.0,-0.1581146738096297,-0.1581146738096297,391172.5,7.524239479129405e-06,SIR,hamilton_09,acute_cit
1064,600.0,1199.0,0.0,9.87606773850777,9.87606773850777,171898.0,4.06555765677585e-98,FF,hamilton_09,acute_cit
1065,600.0,1199.0,-8.881784197001253e-18,0.04092704727193366,0.040927047271933664,359999.0,0.6185927261351132,SR,hamilton_09,acute_cit
1068,600.0,1199.0,-5.329070518200751e-17,0.6086846678523935,0.6086846678523935,330895.0,7.562558857157297e-07,FF,hamilton_09,acute_cit
1613,600.0,1199.0,-1.0066022089934752e-16,-0.2714042098979826,-0.2714042098979825,419772.0,3.4673018109343925e-09,SIR,hamilton_31,acute_cit
1614,600.0,1199.0,-1.1842378929335004e-17,-1.131628095473297,-1.131628095473297,603179.5,2.6645307941084005e-132,SIR,hamilton_31,acute_cit
1615,600.0,1199.0,-5.921189464667502e-18,-0.503742356297437,-0.503742356297437,468903.5,1.0997450514554475e-28,SIR,hamilton_31,acute_cit
1616,600.0,1199.0,5.921189464667502e-18,-1.4375989150870592,-1.4375989150870592,644170.0,6.829897218564674e-169,SIR,hamilton_31,acute_cit
1617,600.0,1199.0,-3.552713678800501e-17,-1.7311896129555153,-1.7311896129555153,699658.5,6.42249929975e-310,SIR,hamilton_31,acute_cit
1619,600.0,1199.0,-1.1250259982868254e-16,-0.26919411627953793,-0.2691941162795378,420602.0,3.6290632758411303e-09,SIR,hamilton_31,acute_cit
1621,600.0,1199.0,-4.144832625267251e-17,-0.40746852112076093,-0.4074685211207609,444104.0,2.7961190884671674e-22,SIR,hamilton_31,acute_cit
1622,600.0,1199.0,-1.1842378929335004e-17,-0.9229720992032977,-0.9229720992032977,560601.5,1.1836318100357796e-93,SIR,hamilton_31,acute_cit
1623,600.0,1199.0,7.105427357601002e-17,-2.23756082695089,-2.23756082695089,670828.5,2.2845629595065372e-198,SIR,hamilton_31,acute_cit
1625,600.0,1199.0,-7.105427357601002e-17,-1.1589704855410463,-1.1589704855410463,615527.5,2.3523256351454853e-158,SIR,hamilton_31,acute_cit
1626,600.0,1199.0,2.3684757858670008e-17,0.3164817756911503,0.3164817756911503,321116.5,3.04419164849279e-05,SIR,hamilton_31,acute_cit
1632,600.0,1199.0,0.0,-0.29458590338497426,-0.29458590338497426,419520.0,1.4319701056322101e-09,SIR,hamilton_31,acute_cit
1636,600.0,1199.0,2.3684757858670008e-17,-0.9722690313891116,-0.9722690313891116,550638.5,2.9485189268067616e-77,SIR,hamilton_31,acute_cit
1638,600.0,1199.0,-4.144832625267251e-17,0.35460210104267387,0.3546021010426739,354142.5,0.30272492240547555,SIR,hamilton_31,acute_cit
1639,600.0,1199.0,0.0,-0.5868962352049376,-0.5868962352049376,487084.0,2.2164602902005842e-38,SIR,hamilton_31,acute_cit
1640,600.0,1199.0,-2.3684757858670008e-17,-0.540236387371912,-0.540236387371912,476154.0,3.642685938380511e-32,FF,hamilton_31,acute_cit
1641,600.0,1199.0,2.3684757858670008e-17,-0.339835834680644,-0.339835834680644,428782.0,1.094933144257712e-14,SIR,hamilton_31,acute_cit
1644,600.0,1199.0,4.7369515717340015e-17,-0.42455277953393245,-0.4245527795339325,447070.0,1.3807633863622492e-21,SIR,hamilton_31,acute_cit
1645,600.0,1199.0,2.3684757858670008e-17,-0.459095957000387,-0.459095957000387,460179.5,5.913390139256739e-25,SIR,hamilton_31,acute_cit
1647,600.0,1199.0,0.0,-1.101739644009382,-1.101739644009382,589622.5,2.457263520414753e-110,SR,hamilton_31,acute_cit
1648,600.0,1199.0,1.7763568394002505e-17,-0.18183414391581268,-0.1818341439158127,389515.5,4.068126763120904e-15,SIR,hamilton_31,acute_cit
1649,600.0,1199.0,-3.552713678800501e-17,-0.42010610835929213,-0.4201061083592921,434075.5,8.952855706936019e-30,SIR,hamilton_31,acute_cit
1650,600.0,1199.0,-1.1842378929335004e-17,-0.23235754799697697,-0.23235754799697697,381888.0,6.107326902321235e-17,SIR,hamilton_31,acute_cit
1651,600.0,1199.0,2.842170943040401e-16,-1.0328032724437912,-1.0328032724437914,532878.0,1.649695487363626e-62,SR,hamilton_31,acute_cit
1657,600.0,1199.0,-1.0362081563168128e-17,0.11811561726737346,0.11811561726737348,350278.0,0.22757908758399858,SR,hamilton_31,acute_cit
1658,600.0,1199.0,-1.1842378929335004e-17,0.08037154402982512,0.08037154402982513,351627.0,0.1046532155074931,SR,hamilton_31,acute_cit
1659,600.0,1199.0,-6.513308411134252e-17,-0.023304497355833644,-0.02330449735583358,363124.5,0.6967428631608992,SIR,hamilton_31,acute_cit
1661,600.0,1199.0,-2.3684757858670008e-17,-1.0567439725423815,-1.0567439725423815,561575.5,2.392729581524184e-86,SR,hamilton_31,acute_cit
1663,600.0,1199.0,8.289665250534503e-17,-0.3194125851634517,-0.3194125851634518,410751.5,5.620550314923285e-17,SIR,hamilton_31,acute_cit
